dataset,round,client,is_selected,is_valid_residual,is_core,fedavg_weight,residual_norm,clipped_residual_norm,support,alpha,residual_cos_to_rcon
Office31,0,0,1,1,0,0.34264883399009705,0.07811973989009857,0.0,0.0,0.0,0.28309714794158936
Office31,0,1,1,1,1,0.34234508872032166,0.07980893552303314,0.04317478463053703,0.7982802391052246,0.14687548577785492,0.6700639724731445
Office31,0,2,1,1,1,0.06470230966806412,0.03606857359409332,0.03606857731938362,1.3096901178359985,0.2409697324037552,0.8582067489624023
Office31,0,3,1,1,1,0.05680437386035919,0.030909553170204163,0.030909545719623566,1.1142137050628662,0.20500405132770538,0.7630054950714111
Office31,0,4,1,1,1,0.0984204113483429,0.049717873334884644,0.043174777179956436,1.1954593658447266,0.21995243430137634,0.8399204015731812
Office31,0,5,1,1,1,0.0950789824128151,0.043174777179956436,0.043174780905246735,1.0174376964569092,0.1871982365846634,0.7612466812133789
Office31,1,0,1,1,0,0.34264883399009705,0.022543177008628845,0.0,0.0,0.0,0.0
Office31,1,1,1,1,0,0.34234508872032166,0.025322210043668747,0.0,0.0,0.0,0.0
Office31,1,2,1,1,0,0.06470230966806412,0.013008601032197475,0.0,0.0,0.0,0.0
Office31,1,3,1,1,0,0.05680437386035919,0.007251335773617029,0.0,0.0,0.0,0.0
Office31,1,4,1,1,0,0.0984204113483429,0.014448440633714199,0.0,0.0,0.0,0.0
Office31,1,5,1,1,0,0.0950789824128151,0.013741625472903252,0.0,0.0,0.0,0.0
Office31,2,0,1,1,0,0.34264883399009705,0.02055797167122364,0.0,0.0,0.0,0.0
Office31,2,1,1,1,0,0.34234508872032166,0.022403737530112267,0.0,0.0,0.0,0.0
Office31,2,2,1,1,0,0.06470230966806412,0.010210717096924782,0.0,0.0,0.0,0.0
Office31,2,3,1,1,0,0.05680437386035919,0.007555624470114708,0.0,0.0,0.0,0.0
Office31,2,4,1,1,0,0.0984204113483429,0.01037982665002346,0.0,0.0,0.0,0.0
Office31,2,5,1,1,0,0.0950789824128151,0.010837025940418243,0.0,0.0,0.0,0.0
Office31,3,0,1,1,0,0.34264883399009705,0.0215617623180151,0.0,0.0,0.0,0.0
Office31,3,1,1,1,0,0.34234508872032166,0.024937355890870094,0.0,0.0,0.0,0.0
Office31,3,2,1,1,0,0.06470230966806412,0.005764912348240614,0.0,0.0,0.0,0.0
Office31,3,3,1,1,0,0.05680437386035919,0.007923723198473454,0.0,0.0,0.0,0.0
Office31,3,4,1,1,0,0.0984204113483429,0.009301993995904922,0.0,0.0,0.0,0.0
Office31,3,5,1,1,0,0.0950789824128151,0.010436614975333214,0.0,0.0,0.0,0.0
Office31,4,0,1,1,0,0.34264883399009705,0.022252388298511505,0.0,0.0,0.0,0.0
Office31,4,1,1,1,0,0.34234508872032166,0.02501726895570755,0.0,0.0,0.0,0.0
Office31,4,2,1,1,0,0.06470230966806412,0.009240594692528248,0.0,0.0,0.0,0.0
Office31,4,3,1,1,0,0.05680437386035919,0.006262076087296009,0.0,0.0,0.0,0.0
Office31,4,4,1,1,0,0.0984204113483429,0.01246500201523304,0.0,0.0,0.0,0.0
Office31,4,5,1,1,0,0.0950789824128151,0.006351342424750328,0.0,0.0,0.0,0.0
Office31,5,0,1,1,0,0.34264883399009705,0.01965971104800701,0.0,0.0,0.0,0.0
Office31,5,1,1,1,0,0.34234508872032166,0.027377506718039513,0.0,0.0,0.0,0.0
Office31,5,2,1,1,0,0.06470230966806412,0.006414292845875025,0.0,0.0,0.0,0.0
Office31,5,3,1,1,0,0.05680437386035919,0.005021320655941963,0.0,0.0,0.0,0.0
Office31,5,4,1,1,0,0.0984204113483429,0.008522084914147854,0.0,0.0,0.0,0.0
Office31,5,5,1,1,0,0.0950789824128151,0.007589574903249741,0.0,0.0,0.0,0.0
Office31,6,0,1,1,0,0.34264883399009705,0.019977552816271782,0.0,0.0,0.0,0.0
Office31,6,1,1,1,0,0.34234508872032166,0.02206936664879322,0.0,0.0,0.0,0.0
Office31,6,2,1,1,0,0.06470230966806412,0.004286506213247776,0.0,0.0,0.0,0.0
Office31,6,3,1,1,0,0.05680437386035919,0.004599826410412788,0.0,0.0,0.0,0.0
Office31,6,4,1,1,0,0.0984204113483429,0.008578678593039513,0.0,0.0,0.0,0.0
Office31,6,5,1,1,0,0.0950789824128151,0.0059580416418612,0.0,0.0,0.0,0.0
Office31,7,0,1,1,0,0.34264883399009705,0.016697991639375687,0.0,0.0,0.0,0.0
Office31,7,1,1,1,0,0.34234508872032166,0.021875204518437386,0.0,0.0,0.0,0.0
Office31,7,2,1,1,0,0.06470230966806412,0.005157293751835823,0.0,0.0,0.0,0.0
Office31,7,3,1,1,0,0.05680437386035919,0.004043125547468662,0.0,0.0,0.0,0.0
Office31,7,4,1,1,0,0.0984204113483429,0.008256192319095135,0.0,0.0,0.0,0.0
Office31,7,5,1,1,0,0.0950789824128151,0.0058926548808813095,0.0,0.0,0.0,0.0
Office31,8,0,1,1,0,0.34264883399009705,0.014743932522833347,0.0,0.0,0.0,0.0
Office31,8,1,1,1,0,0.34234508872032166,0.02298247069120407,0.0,0.0,0.0,0.0
Office31,8,2,1,1,0,0.06470230966806412,0.006704206112772226,0.0,0.0,0.0,0.0
Office31,8,3,1,1,0,0.05680437386035919,0.007795092184096575,0.0,0.0,0.0,0.0
Office31,8,4,1,1,0,0.0984204113483429,0.010273117572069168,0.0,0.0,0.0,0.0
Office31,8,5,1,1,0,0.0950789824128151,0.006153829861432314,0.0,0.0,0.0,0.0
Office31,9,0,1,1,0,0.34264883399009705,0.01619051583111286,0.0,0.0,0.0,0.0
Office31,9,1,1,1,0,0.34234508872032166,0.025621207430958748,0.0,0.0,0.0,0.0
Office31,9,2,1,1,0,0.06470230966806412,0.00877144280821085,0.0,0.0,0.0,0.0
Office31,9,3,1,1,0,0.05680437386035919,0.004750729072839022,0.0,0.0,0.0,0.0
Office31,9,4,1,1,0,0.0984204113483429,0.010113347321748734,0.0,0.0,0.0,0.0
Office31,9,5,1,1,0,0.0950789824128151,0.007669100537896156,0.0,0.0,0.0,0.0
Office31,10,0,1,1,0,0.34264883399009705,0.017431490123271942,0.0,0.0,0.0,0.0
Office31,10,1,1,1,0,0.34234508872032166,0.021146466955542564,0.0,0.0,0.0,0.0
Office31,10,2,1,1,0,0.06470230966806412,0.00571916438639164,0.0,0.0,0.0,0.0
Office31,10,3,1,1,0,0.05680437386035919,0.004172963090240955,0.0,0.0,0.0,0.0
Office31,10,4,1,1,0,0.0984204113483429,0.009075392037630081,0.0,0.0,0.0,0.0
Office31,10,5,1,1,0,0.0950789824128151,0.006760245189070702,0.0,0.0,0.0,0.0
Office31,11,0,1,1,0,0.34264883399009705,0.020072009414434433,0.0,0.0,0.0,0.0
Office31,11,1,1,1,0,0.34234508872032166,0.022587614133954048,0.0,0.0,0.0,0.0
Office31,11,2,1,1,0,0.06470230966806412,0.006559648085385561,0.0,0.0,0.0,0.0
Office31,11,3,1,1,0,0.05680437386035919,0.0034045029897242785,0.0,0.0,0.0,0.0
Office31,11,4,1,1,0,0.0984204113483429,0.009045686572790146,0.0,0.0,0.0,0.0
Office31,11,5,1,1,0,0.0950789824128151,0.008103693835437298,0.0,0.0,0.0,0.0
Office31,12,0,1,1,0,0.34264883399009705,0.01925645023584366,0.0,0.0,0.0,0.0
Office31,12,1,1,1,0,0.34234508872032166,0.02034050039947033,0.0,0.0,0.0,0.0
Office31,12,2,1,1,0,0.06470230966806412,0.0053524449467659,0.0,0.0,0.0,0.0
Office31,12,3,1,1,0,0.05680437386035919,0.004185814410448074,0.0,0.0,0.0,0.0
Office31,12,4,1,1,0,0.0984204113483429,0.008610899560153484,0.0,0.0,0.0,0.0
Office31,12,5,1,1,0,0.0950789824128151,0.006920408923178911,0.0,0.0,0.0,0.0
Office31,13,0,1,1,0,0.34264883399009705,0.01883161999285221,0.0,0.0,0.0,0.0
Office31,13,1,1,1,0,0.34234508872032166,0.026670651510357857,0.0,0.0,0.0,0.0
Office31,13,2,1,1,0,0.06470230966806412,0.0038922152016311884,0.0,0.0,0.0,0.0
Office31,13,3,1,1,0,0.05680437386035919,0.0033692712895572186,0.0,0.0,0.0,0.0
Office31,13,4,1,1,0,0.0984204113483429,0.009490049444139004,0.0,0.0,0.0,0.0
Office31,13,5,1,1,0,0.0950789824128151,0.007903522811830044,0.0,0.0,0.0,0.0
Office31,14,0,1,1,0,0.34264883399009705,0.017323017120361328,0.0,0.0,0.0,0.0
Office31,14,1,1,1,0,0.34234508872032166,0.024570219218730927,0.0,0.0,0.0,0.0
Office31,14,2,1,1,0,0.06470230966806412,0.005127888172864914,0.0,0.0,0.0,0.0
Office31,14,3,1,1,0,0.05680437386035919,0.002726616570726037,0.0,0.0,0.0,0.0
Office31,14,4,1,1,0,0.0984204113483429,0.011536677367985249,0.0,0.0,0.0,0.0
Office31,14,5,1,1,0,0.0950789824128151,0.005390776786953211,0.0,0.0,0.0,0.0
Office31,15,0,1,1,0,0.34264883399009705,0.02042604796588421,0.0,0.0,0.0,0.0
Office31,15,1,1,1,0,0.34234508872032166,0.021432338282465935,0.0,0.0,0.0,0.0
Office31,15,2,1,1,0,0.06470230966806412,0.0058332341723144054,0.0,0.0,0.0,0.0
Office31,15,3,1,1,0,0.05680437386035919,0.0030351027380675077,0.0,0.0,0.0,0.0
Office31,15,4,1,1,0,0.0984204113483429,0.008726454339921474,0.0,0.0,0.0,0.0
Office31,15,5,1,1,0,0.0950789824128151,0.007955550216138363,0.0,0.0,0.0,0.0
Office31,16,0,1,1,0,0.34264883399009705,0.020662862807512283,0.0,0.0,0.0,0.0
Office31,16,1,1,1,0,0.34234508872032166,0.020902689546346664,0.0,0.0,0.0,0.0
Office31,16,2,1,1,0,0.06470230966806412,0.004835639148950577,0.0,0.0,0.0,0.0
Office31,16,3,1,1,0,0.05680437386035919,0.0037463505286723375,0.0,0.0,0.0,0.0
