dataset,round,selected_client_count,valid_client_count,svd_rank,effective_dimension,alpha_round,alpha_edge,dynamic_margin,raw_pairwise_cos_mean,raw_pairwise_cos_std,significant_edge_count,consensus_detected,core_size,core_coverage,core_ids,core_score,n_eff,active_alpha_ratio,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
Office31,0,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.41573530435562134,0.16312916576862335,12,1,5,0.8333333333333334,"[1, 2, 3, 4, 5]",0.2264617383480072,4.87596195798871,0.8333333730697632,0.03067188151180744,0.005489608272910118,5.587262153625488,
Office31,1,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.027014022693037987,0.1262182742357254,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000998364295810461,0.0,no_significant_core
Office31,2,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.050029486417770386,0.12518267333507538,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006871148361824453,0.0,no_significant_core
Office31,3,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.010085035115480423,0.12251213937997818,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006573974969796836,0.0,no_significant_core
Office31,4,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.019145824015140533,0.14434845745563507,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006837706314399838,0.0,no_significant_core
Office31,5,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.0035275679547339678,0.09470926970243454,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006625356036238372,0.0,no_significant_core
Office31,6,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.060990460216999054,0.08442139625549316,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005150024662725627,0.0,no_significant_core
Office31,7,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.06613077968358994,0.10373446345329285,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000529480807017535,0.0,no_significant_core
Office31,8,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.025042593479156494,0.09680311381816864,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000552613812033087,0.0,no_significant_core
Office31,9,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.0473196841776371,0.10387128591537476,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006545322248712182,0.0,no_significant_core
Office31,10,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.019182395190000534,0.09209321439266205,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005777936894446611,0.0,no_significant_core
Office31,11,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.050343722105026245,0.12933236360549927,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000504411815200001,0.0,no_significant_core
Office31,12,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.008245243690907955,0.13772182166576385,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0004651112831197679,0.0,no_significant_core
Office31,13,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.006239213049411774,0.10982520878314972,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0007248047622852027,0.0,no_significant_core
Office31,14,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.04079988971352577,0.07262025773525238,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0008207288337871432,0.0,no_significant_core
Office31,15,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.06107473745942116,0.11913750320672989,2,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005216429126448929,0.0,no_significant_core
Office31,16,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.06414715200662613,0.10377498716115952,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005435560597106814,0.0,no_significant_core
Office31,17,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.053482964634895325,0.10813481360673904,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006126806838437915,0.0,no_significant_core
Office31,18,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.00026160478591918945,0.11082495748996735,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005538946716114879,0.0,no_significant_core
Office31,19,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.016011012718081474,0.1062336415052414,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005877348012290895,0.0,no_significant_core
Office31,20,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.012222661636769772,0.07529749721288681,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005454890197142959,0.0,no_significant_core
Office31,21,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.020581787452101707,0.11381687223911285,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000502676994074136,0.0,no_significant_core
Office31,22,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.030831465497612953,0.09107577055692673,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006541355978697538,0.0,no_significant_core
Office31,23,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.03018256463110447,0.1865765005350113,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005806618719361722,0.0,no_significant_core
Office31,24,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.039930932223796844,0.09393707662820816,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005056869704276323,0.0,no_significant_core
Office31,25,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.03229520469903946,0.0651945024728775,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005242394981905818,0.0,no_significant_core
Office31,26,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.11017612367868423,0.09791461378335953,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0004613181808963418,0.0,no_significant_core
Office31,27,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.01047363132238388,0.12113206833600998,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005714051076211035,0.0,no_significant_core
Office31,28,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.07881005853414536,0.10072194784879684,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005588015192188323,0.0,no_significant_core
Office31,29,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.06386066973209381,0.12873269617557526,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005966880708001554,0.0,no_significant_core
Office31,30,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.02782382071018219,0.09025906026363373,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0007238637772388756,0.0,no_significant_core
Office31,31,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.010959663428366184,0.11354005336761475,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0004972665337845683,0.0,no_significant_core
Office31,32,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.05509110912680626,0.08112163096666336,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006272943574003875,0.0,no_significant_core
