dataset,round,client,lambda_before,lambda_after,action,valid,invalid_reason,raw_alignment,raw_pull_ratio,effective_pull_ratio,utility,negative_streak,warmup_pull_ref,cooldown_until,decay_count,ce_loss,mse_loss,weighted_mse_loss,ce_grad_norm,mse_grad_norm,spf_gamma,spf_rank
Office31,0,0,0.3,0.3,warmup,1,,-1.3609352659920617e-07,8.84261354217819e-06,2.652784062653457e-06,-4.082805797976185e-08,0,,-1,0,1.1015625,0.0002354550815653056,7.063652446959168e-05,38.344295501708984,0.00033906378666870296,0.01000213623046875,8.0
Office31,0,1,0.3,0.3,warmup,1,,2.5335924291317975e-07,1.1107615967521959e-05,3.3322847902565874e-06,7.600777287395393e-08,0,,-1,0,1.818359375,0.0002354550815653056,7.063652446959168e-05,30.52534294128418,0.00033906378666870296,0.01000213623046875,8.0
Office31,0,2,0.3,0.3,warmup,1,,5.349205080432363e-08,6.597652188297185e-06,1.9792956564891553e-06,1.6047615241297087e-08,0,,-1,0,1.5947265625,0.0002354550815653056,7.063652446959168e-05,51.39158248901367,0.00033906378666870296,0.01000213623046875,8.0
Office31,0,3,0.3,0.3,warmup,1,,1.4127669653280668e-07,7.086011757980762e-06,2.1258035273942284e-06,4.2383008959842005e-08,0,,-1,0,1.4462890625,0.0002354550815653056,7.063652446959168e-05,47.849735260009766,0.00033906378666870296,0.01000213623046875,8.0
Office31,0,4,0.3,0.3,warmup,1,,7.277837396111576e-08,7.934135840467944e-06,2.380240752140383e-06,2.1833512188334727e-08,0,,-1,0,1.8798828125,0.0002354550815653056,7.063652446959168e-05,42.73480987548828,0.00033906378666870296,0.01000213623046875,8.0
Office31,0,5,0.3,0.3,warmup,1,,2.088722828669101e-07,9.041024997874415e-06,2.7123074993623243e-06,6.266168486007302e-08,0,,-1,0,1.8291015625,0.0002354550815653056,7.063652446959168e-05,37.502803802490234,0.00033906378666870296,0.01000213623046875,8.0
Office31,5,0,0.3,0.3,warmup,1,,1.5845231949828925e-06,0.00010262197349688311,3.078659204906493e-05,4.7535695849486774e-07,0,,-1,0,0.2308349609375,0.00023931059695314616,7.179317908594385e-05,3.3310585021972656,0.0003418397973291576,0.01000213623046875,8.0
Office31,5,1,0.3,0.3,warmup,1,,7.91747267117076e-07,6.0226076978378955e-05,1.8067823093513687e-05,2.3752418013512277e-07,0,,-1,0,0.66064453125,0.00023558828979730606,7.067648693919182e-05,5.631525039672852,0.000339164660545066,0.01000213623046875,8.0
Office31,5,2,0.3,0.3,warmup,1,,6.347593836493558e-07,4.8694462254604635e-05,1.460833867638139e-05,1.9042781509480674e-07,0,,-1,0,0.420166015625,0.00023488493752665818,7.046548125799745e-05,6.95420503616333,0.00033863127464428544,0.01000213623046875,8.0
Office31,5,3,0.3,0.3,warmup,1,,-1.6766408269583278e-06,7.808408677225497e-05,2.342522603167649e-05,-5.029922480874983e-07,0,,-1,0,0.160888671875,0.0002352808805881068,7.058426417643205e-05,4.340460777282715,0.00033892091596499085,0.01000213623046875,8.0
Office31,5,4,0.3,0.3,warmup,1,,-1.742266692241315e-07,9.154690727971739e-05,2.7464072183915214e-05,-5.226800076723945e-08,0,,-1,0,0.42578125,0.00023391799186356366,7.017539755906909e-05,3.6909866333007812,0.00033789841108955443,0.01000213623046875,8.0
Office31,5,5,0.3,0.3,warmup,1,,-6.697683835286336e-07,6.192723418027785e-05,1.8578170254083354e-05,-2.0093051505859007e-07,0,,-1,0,0.472900390625,0.0002335147000849247,7.00544100254774e-05,5.452282905578613,0.00033764480031095445,0.01000213623046875,8.0
Office31,10,0,0.3,0.3,warmup,1,,1.5547819507091678e-06,6.740552965832296e-05,2.022165889749689e-05,4.664345852127503e-07,0,,-1,0,1.0302734375,0.000238203487242572,7.14610461727716e-05,5.059872627258301,0.0003410633944440633,0.01000213623046875,8.0
Office31,10,1,0.3,0.3,warmup,1,,5.89455945481003e-07,6.912142258245781e-05,2.0736426774737345e-05,1.768367836443009e-07,0,,-1,0,0.6162109375,0.0002370446891291067,7.1113406738732e-05,4.9228339195251465,0.0003402732836548239,0.01000213623046875,8.0
Office31,10,2,0.3,0.3,warmup,1,,1.2480960027083318e-06,6.584303766600345e-05,1.9752911299801035e-05,3.744288008124995e-07,0,,-1,0,0.209716796875,0.00023497355869039893,7.049206760711968e-05,5.1451005935668945,0.0003387690521776676,0.01000213623046875,8.0
