Dataset,Client,Selected Rounds,Core Rounds,Core Ratio,Mean Support,Mean Alpha,Mean Residual Norm,Mean Residual Cosine to Rcon
caltech101,0,50,0,0.000000,0.000000,0.000000,0.006667,0.009940
caltech101,1,50,1,0.020000,0.037228,0.002904,0.006161,0.016309
caltech101,2,50,0,0.000000,0.000000,0.000000,0.006612,0.005178
caltech101,3,50,1,0.020000,0.047055,0.003671,0.006724,0.018119
caltech101,4,50,1,0.020000,0.022016,0.001717,0.005165,0.012803
caltech101,5,50,1,0.020000,0.041327,0.003224,0.005819,0.016682
caltech101,6,50,1,0.020000,0.028156,0.002196,0.006029,0.014120
caltech101,7,50,0,0.000000,0.000000,0.000000,0.006119,0.008911
caltech101,8,50,1,0.020000,0.032058,0.002501,0.006131,0.015091
caltech101,9,50,1,0.020000,0.048543,0.003787,0.006826,0.018327
