Dataset,Client,Mean Support,Median Support,Mean Alpha,Active Alpha Ratio,Mean Residual Norm,Mean Residual Cosine to Rcon
caltech101,0,0.046020,0.038466,0.101871,1.000000,0.006667,0.315423
caltech101,1,0.038867,0.028621,0.079282,1.000000,0.006161,0.215813
caltech101,2,0.041327,0.040885,0.097972,1.000000,0.006612,0.290193
caltech101,3,0.048478,0.041022,0.100054,1.000000,0.006724,0.318650
caltech101,4,0.049115,0.042054,0.109026,1.000000,0.005165,0.321214
caltech101,5,0.046589,0.038403,0.096196,1.000000,0.005819,0.273076
caltech101,6,0.045971,0.038904,0.099639,1.000000,0.006029,0.308163
caltech101,7,0.045351,0.037625,0.100953,1.000000,0.006119,0.307154
caltech101,8,0.047194,0.039708,0.101673,1.000000,0.006131,0.321698
caltech101,9,0.054383,0.039093,0.113334,1.000000,0.006826,0.334859
