dataset,round,selected_client_count,valid_client_count,svd_rank,kappa,n_eff,mean_pairwise_positive_similarity,direction_concentration,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
Caltech101,0,10,10,8,0.32551610469818115,9.419583320617676,0.4393937587738037,0.7408300638198853,0.022039979696273804,0.002907093148678541,7.581449508666992,
Caltech101,1,10,10,8,0.027301885187625885,8.749604225158691,0.06500941514968872,0.4199681580066681,0.0025849761441349983,0.001066525117494166,2.423736810684204,
Caltech101,2,10,10,8,0.02235538698732853,8.34868335723877,0.05326436460018158,0.419706255197525,0.0024279472418129444,0.000763013435062021,3.1820504665374756,
Caltech101,3,10,10,8,0.014463727362453938,8.992206573486328,0.040636494755744934,0.35592949390411377,0.0019448782550171018,0.000393715628888458,4.939804553985596,
Caltech101,4,10,10,8,0.014026354067027569,8.607771873474121,0.03780248388648033,0.3710431754589081,0.002004806185141206,0.00021173352433834225,9.468534469604492,
Caltech101,5,10,10,8,0.017716391012072563,8.54248332977295,0.04646771773695946,0.38126233220100403,0.0018067248165607452,0.00023965143191162497,7.53896951675415,
Caltech101,6,10,10,8,0.021111221984028816,8.603175163269043,0.053594477474689484,0.39390668272972107,0.0018492524977773428,0.0001729705254547298,10.691142082214355,
Caltech101,7,10,10,8,0.017906377092003822,7.884418964385986,0.04390142112970352,0.4078769385814667,0.002145274542272091,0.0001552123430883512,13.821545600891113,
Caltech101,8,10,10,8,0.011478126980364323,8.95612621307373,0.03575577586889267,0.3210146129131317,0.0015453103696927428,0.00017191650113090873,8.988726615905762,
Caltech101,9,10,10,8,0.017750725150108337,9.335860252380371,0.0505085289478302,0.3514401614665985,0.002106756204739213,0.0001995787170017138,10.556015968322754,
Caltech101,10,10,10,8,0.015591238625347614,9.131240844726562,0.045396313071250916,0.3434472382068634,0.001784898922778666,0.00016352577949874103,10.915091514587402,
Caltech101,11,10,10,8,0.013376342132687569,8.893706321716309,0.03832760825753212,0.3490001857280731,0.002186734927818179,0.0007908536354079843,2.765031099319458,
Caltech101,12,10,10,8,0.01697615161538124,8.777238845825195,0.04730360582470894,0.35887646675109863,0.0022098154295235872,0.00045887986198067665,4.815673351287842,
Caltech101,13,10,10,8,0.015262839384377003,8.515997886657715,0.04083076864480972,0.37380731105804443,0.0017770975828170776,0.00020483288972172886,8.675841331481934,
Caltech101,14,10,10,8,0.022114763036370277,9.335679054260254,0.0574759915471077,0.38476523756980896,0.0021915119141340256,0.00017274904530495405,12.686101913452148,
Caltech101,15,10,10,8,0.012891003862023354,8.643094062805176,0.03874906152486801,0.3326791226863861,0.0013254210352897644,0.00014892306353431195,8.900038719177246,
Caltech101,16,10,10,8,0.019217437133193016,7.515842914581299,0.04525351524353027,0.4246617555618286,0.0022925776429474354,0.00013053769362159073,17.562572479248047,
