dataset,lambda,round,client,local_epoch,batch,valid,invalid_reason,spf_gamma,spf_rank,ce_loss,mse_loss,weighted_mse_loss,total_loss,ce_grad_norm,mse_grad_norm,dot_ce_mse,cos_ce_mse,effective_pull_ratio,utility
Caltech101,0.3,0,0,0,0,1,,0.01000213623046875,8.0,2.17578125,0.0002354550815653056,7.063652446959168e-05,2.1758518865244696,46.77993392944336,0.00033906378666870296,0.0001966398995136842,0.012397400505583266,2.174418120257039e-06,2.6957132305124138e-08
Caltech101,0.3,0,1,0,0,1,,0.01000213623046875,8.0,1.587890625,0.0002354550815653056,7.063652446959168e-05,1.5879612615244696,59.353267669677734,0.00033906378666870296,7.946045661810786e-05,0.003948435196795713,1.7137916747349568e-06,6.7667953688353314e-09
Caltech101,0.3,0,2,0,0,1,,0.01000213623046875,8.0,2.818359375,0.0002354550815653056,7.063652446959168e-05,2.8184300115244696,54.930870056152344,0.00033906378666870296,0.0002817001659423113,0.015124785248187913,1.8517663364266398e-06,2.8007568169780872e-08
Caltech101,0.3,0,3,0,0,1,,0.01000213623046875,8.0,2.48046875,0.0002354550815653056,7.063652446959168e-05,2.4805393865244696,69.1440658569336,0.00033906378666870296,-0.0002185744815506041,-0.009323159954980455,1.4711188117151962e-06,-1.371547599498677e-08
Caltech101,0.3,0,4,0,0,1,,0.01000213623046875,8.0,1.1376953125,0.0002354550815653056,7.063652446959168e-05,1.1377659490244696,64.1426773071289,0.00033906378666870296,-0.00022797998099122196,-0.010482580876467817,1.585826165527146e-06,-1.6623551036921756e-08
Caltech101,0.3,0,5,0,0,1,,0.01000213623046875,8.0,1.6318359375,0.0002354550815653056,7.063652446959168e-05,1.6319065740244696,46.35612106323242,0.00033906378666870296,-6.387440953403711e-05,-0.004063856856356124,2.194297833113731e-06,-8.917312294554154e-09
Caltech101,0.3,0,6,0,0,1,,0.01000213623046875,8.0,2.62890625,0.0002354550815653056,7.063652446959168e-05,2.6289768865244696,84.09187316894531,0.00033906378666870296,-0.0002702611673157662,-0.009478687681613848,1.209619100721543e-06,-1.146560166985637e-08
Caltech101,0.3,0,7,0,0,1,,0.01000213623046875,8.0,1.77734375,0.0002354550815653056,7.063652446959168e-05,1.7774143865244696,51.02817916870117,0.00033906378666870296,7.576560892630368e-05,0.00437905740425626,1.9933914487585656e-06,8.729175583772001e-09
Caltech101,0.3,0,8,0,0,1,,0.01000213623046875,8.0,1.9091796875,0.0002354550815653056,7.063652446959168e-05,1.9092503240244696,71.9793930053711,0.00033906378666870296,-0.00027289194986224174,-0.011181527507747738,1.4131702387795798e-06,-1.5801401898691974e-08
Caltech101,0.3,0,9,0,0,1,,0.01000213623046875,8.0,1.6396484375,0.0002354550815653056,7.063652446959168e-05,1.6397190740244696,61.324195861816406,0.00033906378666870296,-0.00019505350792314857,-0.009380813357911456,1.6587112895832488e-06,-1.5560061022989667e-08
