Dataset,Client,Selected Rounds,Core Rounds,Core Ratio,Mean Support,Mean Alpha,Mean Residual Norm,Mean Residual Cosine to Rcon
dtd,0,50,0,0.000000,0.000000,0.000000,0.002950,0.004861
dtd,1,50,0,0.000000,0.000000,0.000000,0.004064,0.007543
dtd,2,50,0,0.000000,0.000000,0.000000,0.003213,-0.002056
dtd,3,50,1,0.020000,0.008087,0.005240,0.002424,0.015343
dtd,4,50,1,0.020000,0.009077,0.005881,0.003762,0.015157
dtd,5,50,0,0.000000,0.000000,0.000000,0.001802,-0.008765
dtd,6,50,0,0.000000,0.000000,0.000000,0.002916,-0.003116
dtd,7,50,1,0.020000,0.013702,0.008878,0.004854,0.018811
dtd,8,50,0,0.000000,0.000000,0.000000,0.003792,0.001005
dtd,9,50,0,0.000000,0.000000,0.000000,0.001963,0.006148
