Dataset,Client,Mean Support,Median Support,Mean Alpha,Active Alpha Ratio,Mean Residual Norm,Mean Residual Cosine to Rcon
dtd,0,0.040651,0.037945,0.090974,1.000000,0.002950,0.252442
dtd,1,0.045732,0.037730,0.097922,1.000000,0.004064,0.318052
dtd,2,0.047092,0.047098,0.105836,1.000000,0.003213,0.338432
dtd,3,0.053094,0.051531,0.119947,1.000000,0.002424,0.310121
dtd,4,0.047659,0.043293,0.105818,1.000000,0.003762,0.348503
dtd,5,0.050413,0.048057,0.113224,0.980000,0.001802,0.257919
dtd,6,0.047458,0.047932,0.110630,1.000000,0.002916,0.338152
dtd,7,0.046910,0.043309,0.102117,1.000000,0.004854,0.332648
dtd,8,0.049344,0.048757,0.109252,1.000000,0.003792,0.371732
dtd,9,0.047433,0.047842,0.044279,1.000000,0.001963,0.080341
