dataset,round,client,lambda_before,lambda_after,action,valid,invalid_reason,raw_alignment,raw_pull_ratio,effective_pull_ratio,utility,negative_streak,warmup_pull_ref,cooldown_until,decay_count,ce_loss,mse_loss,weighted_mse_loss,ce_grad_norm,mse_grad_norm,spf_gamma,spf_rank
DescribableTextures,0,0,0.3,0.3,warmup,1,,4.186811851119422e-08,9.522180536751708e-06,2.8566541610255124e-06,1.2560435553358266e-08,0,,-1,0,2.75,0.0002354550815653056,7.063652446959168e-05,35.6077880859375,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,1,0.3,0.3,warmup,1,,1.672251942035152e-07,9.54001907632484e-06,2.862005722897452e-06,5.016755826105456e-08,0,,-1,0,2.876953125,0.0002354550815653056,7.063652446959168e-05,35.54120635986328,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,2,0.3,0.3,warmup,1,,-9.649122470303578e-09,7.283156281273885e-06,2.1849468843821655e-06,-2.8947367410910734e-09,0,,-1,0,2.8984375,0.0002354550815653056,7.063652446959168e-05,46.55451202392578,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,3,0.3,0.3,warmup,1,,1.0247099470949928e-07,6.728680198018714e-06,2.018604059405614e-06,3.074129841284978e-08,0,,-1,0,3.482421875,0.0002354550815653056,7.063652446959168e-05,50.390830993652344,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,4,0.3,0.3,warmup,1,,1.0263271175892027e-07,8.251439167365474e-06,2.475431750209642e-06,3.078981352767608e-08,0,,-1,0,3.359375,0.0002354550815653056,7.063652446959168e-05,41.09147262573242,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,5,0.3,0.3,warmup,1,,-8.575458341553231e-08,6.659833063667188e-06,1.9979499191001564e-06,-2.5726375024659692e-08,0,,-1,0,2.169921875,0.0002354550815653056,7.063652446959168e-05,50.9117546081543,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,6,0.3,0.3,warmup,1,,-1.5534134707192962e-07,1.0169558429268239e-05,3.0508675287804716e-06,-4.6602404121578886e-08,0,,-1,0,2.96875,0.0002354550815653056,7.063652446959168e-05,33.3410530090332,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,7,0.3,0.3,warmup,1,,1.5471735962598075e-07,6.511455125748481e-06,1.953436537724544e-06,4.641520788779422e-08,0,,-1,0,3.65234375,0.0002354550815653056,7.063652446959168e-05,52.07189178466797,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,8,0.3,0.3,warmup,1,,2.0807961759647593e-08,9.57452137834852e-06,2.872356413504556e-06,6.242388527894278e-09,0,,-1,0,3.095703125,0.0002354550815653056,7.063652446959168e-05,35.41313171386719,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,0,9,0.3,0.3,warmup,1,,3.9646438545007306e-08,8.484980310768006e-06,2.5454940932304015e-06,1.1893931563502191e-08,0,,-1,0,3.265625,0.0002354550815653056,7.063652446959168e-05,39.96046829223633,0.00033906378666870296,0.01000213623046875,8.0
DescribableTextures,5,0,0.3,0.3,warmup,1,,-2.099178207415651e-07,1.770511197530084e-05,5.311533592590252e-06,-6.297534622246953e-08,0,,-1,0,0.853515625,0.0002358091005589813,7.074273016769438e-05,19.168291091918945,0.0003393767401576042,0.01000213623046875,8.0
DescribableTextures,5,1,0.3,0.3,warmup,1,,4.3213041095604667e-07,2.0301919741378026e-05,6.0905759224134074e-06,1.29639123286814e-07,0,,-1,0,2.349609375,0.0002350903523620218,7.052710570860654e-05,16.689878463745117,0.00033883657306432724,0.01000213623046875,8.0
DescribableTextures,5,2,0.3,0.3,warmup,1,,-9.474061813554115e-08,1.9998469266111593e-05,5.999540779833478e-06,-2.8422185440662344e-08,0,,-1,0,0.7177734375,0.00023535369837190956,7.060610951157286e-05,16.95078468322754,0.00033898974652402103,0.01000213623046875,8.0
DescribableTextures,5,3,0.3,0.3,warmup,1,,9.536310000189341e-08,1.3091999843335638e-05,3.927599953000692e-06,2.860893000056802e-08,0,,-1,0,0.767578125,0.00023526616860181093,7.057985058054327e-05,25.890153884887695,0.00033895389060489833,0.01000213623046875,8.0
DescribableTextures,5,4,0.3,0.3,warmup,1,,-2.398415201633659e-07,1.2716640112267103e-05,3.81499203368013e-06,-7.195245604900976e-08,0,,-1,0,1.7939453125,0.000235176325077191,7.05528975231573e-05,26.64849090576172,0.00033887926838360727,0.01000213623046875,8.0
DescribableTextures,5,5,0.3,0.3,warmup,1,,-1.6363618727308947e-06,6.611168571700674e-05,1.9833505715102022e-05,-4.909085618192683e-07,0,,-1,0,0.266845703125,0.0002361494698561728,7.084484095685183e-05,5.136410713195801,0.00033957677078433335,0.01000213623046875,8.0
DescribableTextures,5,6,0.3,0.3,warmup,1,,1.1701251977752848e-09,2.610835069977119e-05,7.832505209931356e-06,3.5103755933258544e-10,0,,-1,0,0.399658203125,0.00023581158893648535,7.074347668094561e-05,12.996899604797363,0.00033932761289179325,0.01000213623046875,8.0
DescribableTextures,5,7,0.3,0.3,warmup,1,,6.618466183420738e-08,9.776990644608438e-06,2.9330971933825313e-06,1.9855398550262215e-08,0,,-1,0,2.51171875,0.00023495941422879696,7.048782426863908e-05,34.6407356262207,0.0003386821481399238,0.01000213623046875,8.0
