round,client_id,num_test_samples,global_acc,personalized_acc,global_macro_f1,personalized_macro_f1,gamma_mean,correction_ratio,seed,method_label
0,0,269,50.185873605947954,86.61710037174721,41.75052563437796,86.65062624504773,0.04998779296875,0.0359974816814065,2,A1
0,1,293,48.122866894197955,84.64163822525597,40.47873291059589,79.494514177714,0.04998779296875,0.0359974816814065,2,A1
0,2,44,47.72727272727273,84.0909090909091,41.75771318628461,79.3272864701436,0.04998779296875,0.0359974816814065,2,A1
0,3,54,50.0,88.88888888888889,37.558020726901184,79.32411674347158,0.04998779296875,0.0359974816814065,2,A1
0,4,69,44.927536231884055,89.85507246376811,39.492753623188406,89.13388543823326,0.04998779296875,0.0359974816814065,2,A1
0,5,89,49.438202247191015,91.01123595505618,37.04177858826815,84.25981145146231,0.04998779296875,0.0359974816814065,2,A1
1,0,269,50.55762081784387,88.84758364312268,43.30854898817596,86.05699569688,0.04998779296875,0.03380907081067562,2,A1
1,1,293,48.122866894197955,85.32423208191126,39.40346409339159,83.72273709470916,0.04998779296875,0.03380907081067562,2,A1
1,2,44,47.72727272727273,88.63636363636364,41.75771318628461,85.6593142307428,0.04998779296875,0.03380907081067562,2,A1
1,3,54,50.0,90.74074074074075,37.558020726901184,85.13056835637481,0.04998779296875,0.03380907081067562,2,A1
1,4,69,44.927536231884055,89.85507246376811,38.768115942028984,83.24598107206803,0.04998779296875,0.03380907081067562,2,A1
1,5,89,49.438202247191015,95.50561797752809,37.04177858826815,90.39426523297492,0.04998779296875,0.03380907081067562,2,A1
2,0,269,50.55762081784387,90.33457249070632,43.271652509154244,89.23213673384124,0.04998779296875,0.033632717914879325,2,A1
2,1,293,48.122866894197955,85.66552901023891,39.40346409339159,79.75770681855884,0.04998779296875,0.033632717914879325,2,A1
2,2,44,47.72727272727273,86.36363636363636,41.75771318628461,88.53157424585997,0.04998779296875,0.033632717914879325,2,A1
