round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,70.75050709939148,69.79766620137308,93.50912778904666,92.94142393807392,92.94142393807392,79.22077922077922,5.6398316818826295,70.75050709939148,0,93.50912778904666,0,29.813341334927827,84.33405300299637,114.15162668703124,1923.10498046875,0.01455322265625,0.04998779296875,0.0,0.03794312529265881,8.0,A1,3
1,70.8316430020284,69.85865231423927,97.16024340770791,96.60814039403004,96.60814039403004,92.85714285714286,2.183889933308599,70.8316430020284,1,97.16024340770791,1,33.127499846043065,93.93913177098148,127.07875638594851,1920.21435546875,0.014590911865234375,0.04998779296875,0.0,0.03770980954170227,8.0,A1,3
2,70.66937119675457,69.65041819717676,97.60649087221095,97.08070018352619,97.08070018352619,93.50649350649351,1.7841163873845354,70.8316430020284,1,97.60649087221095,2,41.49805996904615,99.94813566689845,141.44757734797895,1920.21435546875,0.0145855712890625,0.04998779296875,0.0,0.03768322631716728,8.0,A1,3
3,70.75050709939148,69.8111132361984,97.80933062880325,97.38880583008968,97.38880583008968,94.44444444444444,1.6289472823551465,70.8316430020284,1,97.80933062880325,3,36.742733862949535,104.89129012299236,141.637107884977,1920.21435546875,0.014582061767578125,0.04998779296875,0.0,0.03766641765832901,8.0,A1,3
4,70.70993914807302,69.768003512882,98.21501014198783,97.7891544791583,97.7891544791583,92.20779220779221,2.04326333157135,70.8316430020284,1,98.21501014198783,4,42.076922290958464,109.58515710302163,151.6760348350508,1920.21435546875,0.01458038330078125,0.04998779296875,0.0,0.037650654837489125,8.0,A1,3
5,70.6288032454361,69.69408698552593,98.5395537525355,98.35840532250786,98.35840532250786,96.1038961038961,1.21466641421995,70.8316430020284,1,98.5395537525355,5,40.400616897968575,106.24277828994673,146.6482594400877,1920.21435546875,0.01457611083984375,0.04998779296875,0.0,0.03762853182852268,8.0,A1,3
6,70.8316430020284,69.83069162558468,98.5395537525355,98.28276205744596,98.28276205744596,94.15584415584415,1.622078560293789,70.8316430020284,1,98.5395537525355,5,40.81447416404262,112.07961391296703,152.89966920099687,1920.21435546875,0.014573211669921876,0.04998779296875,0.0,0.03761082321405411,8.0,A1,3
7,70.75050709939148,69.80056268985233,98.7423935091278,98.50388593145539,98.50388593145539,96.75324675324676,1.0236871132122523,70.8316430020284,1,98.7423935091278,7,37.38499057700392,112.06055411999114,149.44982372003142,1920.21435546875,0.014570159912109375,0.04998779296875,0.0,0.037593358308076856,8.0,A1,3
8,70.66937119675457,69.74583734471966,98.62068965517241,98.4872804224647,98.4872804224647,95.67901234567901,1.2091146118703475,70.8316430020284,1,98.7423935091278,7,43.38760113005992,104.82130443304777,148.2102378020063,1920.21435546875,0.014566802978515625,0.04998779296875,0.0,0.037572038248181346,8.0,A1,3
9,70.66937119675457,69.68413959480753,98.41784989858012,98.02905899863637,98.02905899863637,93.50649350649351,2.075703812096122,70.8316430020284,1,98.7423935091278,7,41.880982664064504,108.144511290011,150.03308975300752,1920.21435546875,0.0145654296875,0.04998779296875,0.0,0.037557686641812325,8.0,A1,3
10,70.66937119675457,69.7429408562404,98.86409736308316,98.69613400068614,98.69613400068614,96.1038961038961,1.0977930195236205,70.8316430020284,1,98.86409736308316,10,42.81724333995953,112.10885014710948,154.93844240403268,1920.21435546875,0.014565887451171875,0.04998779296875,0.0,0.03753965936601162,8.0,A1,3
11,70.70993914807302,69.768003512882,98.82352941176471,98.63723417104697,98.63723417104697,95.45454545454545,1.3498496538215088,70.8316430020284,1,98.86409736308316,10,38.30511062697042,107.06068027601577,145.37040898005944,1920.21435546875,0.014565277099609374,0.04998779296875,0.0,0.037522581219673154,8.0,A1,3
