round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,45.92739273927393,46.0,87.93069306930693,87.93787878787879,87.93787878787879,84.76666666666667,2.4301107949362604,45.92739273927393,0,87.93069306930693,0,33.537385046016425,291.5411773700034,325.08186261402443,1935.73779296875,0.014561767578125,0.04998779296875,0.0,0.03792221352458,8.0,A1,3
1,45.93069306930693,46.00242424242425,89.48844884488449,89.49454545454546,89.49454545454546,85.5,2.4129292083595506,45.93069306930693,1,89.48844884488449,1,39.54931415489409,316.8526006039465,356.4034108290216,1929.30419921875,0.01460235595703125,0.04998779296875,0.0,0.03762835390865803,8.0,A1,3
2,45.976897689768975,46.04757575757575,90.44224422442244,90.44969696969697,90.44969696969697,87.26666666666667,2.2899441610636977,45.976897689768975,2,90.44224422442244,2,48.43729304894805,356.36785504897125,404.8126162069384,1929.30419921875,0.014596099853515626,0.04998779296875,0.0,0.03756371669471264,8.0,A1,3
3,45.84818481848185,45.91969696969697,91.61386138613861,91.6160606060606,91.6160606060606,88.96666666666667,1.645495311733413,45.976897689768975,2,91.61386138613861,3,50.32965247007087,349.6838091800455,400.0209281439893,1929.30419921875,0.0145989990234375,0.04998779296875,0.0,0.03754794031381607,8.0,A1,3
4,45.9009900990099,45.971515151515156,91.84158415841584,91.83878787878788,91.83878787878788,88.5,2.0556512622595755,45.976897689768975,2,91.84158415841584,4,47.17610094998963,354.72806858900003,401.90935467602685,1929.30419921875,0.01459564208984375,0.04998779296875,0.0,0.03753035828471184,8.0,A1,3
5,45.91089108910891,45.982424242424244,92.75577557755776,92.75424242424242,92.75424242424242,89.5,1.7702123834334043,45.976897689768975,2,92.75577557755776,5,43.29324405710213,349.24041584297083,392.5356456169393,1929.30419921875,0.014592742919921875,0.04998779296875,0.0,0.03751147195696831,8.0,A1,3
6,45.864686468646866,45.93636363636364,93.12871287128714,93.12363636363636,93.12363636363636,89.13333333333334,1.7858981324749712,45.976897689768975,2,93.12871287128714,6,46.37417933391407,332.12939873803407,378.50512926396914,1929.30419921875,0.014590606689453126,0.04998779296875,0.0,0.03749701917171478,8.0,A1,3
7,45.881188118811885,45.9530303030303,93.44224422442244,93.43969696969697,93.43969696969697,90.86666666666666,1.3264065597695966,45.976897689768975,2,93.44224422442244,7,48.832680684980005,340.9962934460491,389.8328880199697,1929.30419921875,0.01458587646484375,0.04998779296875,0.0,0.03747825749218464,8.0,A1,3
8,45.85808580858086,45.92909090909091,93.72937293729373,93.72151515151515,93.72151515151515,90.93333333333334,1.642080613723061,45.976897689768975,2,93.72937293729373,8,53.29741599597037,352.6041515209945,405.90915762097575,1929.30419921875,0.01458160400390625,0.04998779296875,0.0,0.037455529496073725,8.0,A1,3
9,45.90759075907591,45.978484848484854,93.88778877887789,93.87939393939394,93.87939393939394,90.96666666666667,1.5971892207234621,45.976897689768975,2,93.88778877887789,9,46.46388918207958,354.26873588503804,400.7390765789896,1929.30419921875,0.014578094482421875,0.04998779296875,0.0,0.037434430047869685,8.0,A1,3
10,45.93399339933993,46.00393939393939,94.24752475247524,94.23909090909092,94.23909090909092,90.86666666666666,1.6993330134325602,45.976897689768975,2,94.24752475247524,10,40.19579808798153,347.49002483696677,387.69406132004224,1929.30419921875,0.01457763671875,0.04998779296875,0.0,0.03741484224796295,8.0,A1,3
11,45.96369636963696,46.03515151515151,94.67326732673267,94.66575757575757,94.66575757575757,91.0,1.513624108907833,45.976897689768975,2,94.67326732673267,11,41.23226059006993,349.6355482689105,390.88068348902743,1929.30419921875,0.014579620361328125,0.04998779296875,0.0,0.03739213190972805,8.0,A1,3
12,45.914191419141915,45.985151515151514,94.95709570957095,94.95303030303032,94.95303030303032,91.46666666666667,1.446611093116982,45.976897689768975,2,94.95709570957095,12,47.76044432295021,327.1844006481115,374.95740431395825,1929.30419921875,0.01458038330078125,0.04998779296875,0.0,0.03737531937658787,8.0,A1,3
13,45.88778877887789,45.96,94.9042904290429,94.89848484848486,94.89848484848486,91.96666666666667,1.5235857673429312,45.976897689768975,2,94.95709570957095,12,46.66352187807206,308.80151023902,355.4711302390788,1929.30419921875,0.014577789306640625,0.04998779296875,0.0,0.037351182997226715,8.0,A1,3
14,45.897689768976896,45.96909090909091,95.04950495049505,95.04727272727273,95.04727272727273,92.4,1.3783577084529923,45.976897689768975,2,95.04950495049505,14,39.70716986793559,304.1899890510831,343.89848289708607,1929.30419921875,0.014571380615234376,0.04998779296875,0.0,0.03731711618602276,8.0,A1,3
15,45.914191419141915,45.985757575757575,95.3993399339934,95.3948484848485,95.3948484848485,93.06666666666666,1.1743454891230667,45.976897689768975,2,95.3993399339934,15,37.10302955796942,302.14195165003184,339.2488052760018,1929.30419921875,0.014567413330078126,0.04998779296875,0.0,0.037292812466621396,8.0,A1,3
16,45.884488448844884,45.95606060606061,95.16831683168317,95.15757575757576,95.15757575757576,92.0,1.5074549974475733,45.976897689768975,2,95.3993399339934,15,34.78446029196493,297.5418336499715,332.33213294600137,1929.30419921875,0.01457183837890625,0.04998779296875,0.0,0.037285151779651644,8.0,A1,3
17,45.96369636963696,46.03545454545455,95.36633663366337,95.36000000000001,95.36000000000001,92.73333333333333,1.1483127719494468,45.976897689768975,2,95.3993399339934,15,38.08668253791984,299.69229281006847,337.78587013401557,1929.30419921875,0.014572906494140624,0.04998779296875,0.0,0.037270678654313084,8.0,A1,3
18,45.851485148514854,45.92151515151515,95.17161716171617,95.18757575757579,95.18757575757579,92.93333333333334,1.218558248789648,45.976897689768975,2,95.3993399339934,15,43.57057696802076,309.3375130359782,352.9125817900058,1929.30419921875,0.014572906494140624,0.04998779296875,0.0,0.03725717820227146,8.0,A1,3
19,45.947194719471945,46.017878787878786,95.42904290429043,95.43666666666665,95.43666666666665,92.5,1.3586308467636743,45.976897689768975,2,95.42904290429043,19,41.04149086109828,297.37610585195944,338.4282093180809,1929.30419921875,0.01457427978515625,0.04998779296875,0.0,0.03724094189703465,8.0,A1,3
20,45.87788778877888,45.948484848484846,95.0,94.99909090909091,94.99909090909091,88.53333333333333,2.592091188779018,45.976897689768975,2,95.42904290429043,19,38.537661563954316,295.63225873105694,334.17128089698963,1929.30419921875,0.0145733642578125,0.04998779296875,0.0,0.037223534658551216,8.0,A1,3
21,45.85478547854785,45.92454545454545,95.58745874587459,95.58242424242425,95.58242424242425,93.13333333333334,1.2940080884469076,45.976897689768975,2,95.58745874587459,21,34.510713706025854,261.0985152210342,295.61070785601623,1929.30419921875,0.014572906494140624,0.04998779296875,0.0,0.0372042029350996,8.0,A1,3
22,45.95379537953795,46.024545454545446,95.88118811881188,95.88242424242424,95.88242424242424,93.0,1.1635422941774671,45.976897689768975,2,95.88118811881188,22,32.65291382500436,253.6920596479904,286.34744436398614,1929.30419921875,0.01457061767578125,0.04998779296875,0.0,0.0371828331798315,8.0,A1,3
23,45.96369636963696,46.03484848484849,95.6963696369637,95.69666666666666,95.69666666666666,92.96666666666667,1.177044320887421,45.976897689768975,2,95.88118811881188,22,32.7289607579587,249.44718577410094,282.177419468062,1929.30419921875,0.014573516845703125,0.04998779296875,0.0,0.037170805856585505,8.0,A1,3
24,45.851485148514854,45.92242424242424,95.51485148514851,95.5139393939394,95.5139393939394,93.46666666666667,1.217528243186514,45.976897689768975,2,95.88118811881188,22,32.361570587032475,255.49406938708853,287.85705195902847,1929.30419921875,0.0145751953125,0.04998779296875,0.0,0.03715915158390999,8.0,A1,3
25,45.92409240924093,45.99636363636363,95.42904290429043,95.43545454545453,95.43545454545453,91.6,1.5774420192674588,45.976897689768975,2,95.88118811881188,22,31.673196577001363,238.83239259803668,270.50695607997477,1929.30419921875,0.014572601318359375,0.04998779296875,0.0,0.03713826559484005,8.0,A1,3
26,45.867986798679866,45.940000000000005,96.11881188118812,96.1221212121212,96.1221212121212,94.6,0.9306672369696809,45.976897689768975,2,96.11881188118812,26,22.65938386891503,235.81485111394431,258.47620663198177,1929.30419921875,0.014572296142578125,0.04998779296875,0.0,0.03711329162120819,8.0,A1,3
27,45.917491749174914,45.988181818181815,96.11881188118812,96.1230303030303,96.1230303030303,94.26666666666667,0.8820693175662184,45.976897689768975,2,96.11881188118812,26,29.589135121903382,245.63588881795295,275.22662128694355,1929.30419921875,0.01457061767578125,0.04998779296875,0.0,0.03709544599056244,8.0,A1,3
28,45.86138613861386,45.93212121212122,96.05940594059406,96.06545454545456,96.06545454545456,93.66666666666667,1.0546832024280675,45.976897689768975,2,96.11881188118812,26,29.175695992074907,225.51385390595533,254.69365741091315,1929.30419921875,0.014570770263671875,0.04998779296875,0.0,0.03708689637482166,8.0,A1,3
29,45.867986798679866,45.93818181818182,96.0924092409241,96.09060606060606,96.09060606060606,94.03333333333333,1.0155489497909442,45.976897689768975,2,96.11881188118812,26,24.093698729062453,237.71406487107743,261.80911111994646,1929.30419921875,0.014572296142578125,0.04998779296875,0.0,0.0370750293135643,8.0,A1,3
30,45.82178217821782,45.89151515151516,96.04950495049505,96.04484848484847,96.04484848484847,93.13333333333334,1.2797890666420044,45.976897689768975,2,96.11881188118812,26,29.90991182194557,237.746331989998,267.6576811259147,1929.30419921875,0.014568939208984374,0.04998779296875,0.0,0.0370575325191021,8.0,A1,3
31,45.87128712871287,45.941212121212125,96.3993399339934,96.40060606060607,96.40060606060607,94.23333333333333,0.910346405777711,45.976897689768975,2,96.3993399339934,31,30.673656663042493,231.5816804469796,262.25679975096136,1929.30419921875,0.0145703125,0.04998779296875,0.0,0.037043049558997156,8.0,A1,3
32,45.867986798679866,45.93818181818182,96.26072607260726,96.26272727272726,96.26272727272726,93.9,1.0767789005801582,45.976897689768975,2,96.3993399339934,31,25.062166457995772,227.92276342096739,252.98727269493975,1929.30419921875,0.01456939697265625,0.04998779296875,0.0,0.037028685435652735,8.0,A1,3
33,45.95709570957096,46.026969696969694,96.27392739273927,96.27454545454546,96.27454545454546,93.16666666666667,1.212624289541051,45.976897689768975,2,96.3993399339934,31,29.255701964953914,238.56876201496925,267.8258596439846,1929.30419921875,0.014569244384765624,0.04998779296875,0.0,0.0370190828293562,8.0,A1,3
34,45.84488448844885,45.916060606060604,96.29372937293729,96.29272727272726,96.29272727272726,93.86666666666666,0.9625467443600111,45.976897689768975,2,96.3993399339934,31,31.69428343803156,228.60756058606785,260.30738048802596,1929.30419921875,0.014569244384765624,0.04998779296875,0.0,0.03700681746006012,8.0,A1,3
35,45.92079207920792,45.991818181818175,96.4983498349835,96.49515151515152,96.49515151515152,93.86666666666666,1.0077424788016383,45.976897689768975,2,96.4983498349835,35,24.185575506999157,235.63027961796615,259.81735698191915,1929.30419921875,0.0145709228515625,0.04998779296875,0.0,0.0369970490783453,8.0,A1,3
36,45.917491749174914,45.98878787878788,96.2904290429043,96.28939393939393,96.28939393939393,94.36666666666666,0.8049106059450961,45.976897689768975,2,96.4983498349835,35,29.87079141708091,234.6308902320452,264.5034358620178,1929.30419921875,0.0145721435546875,0.04998779296875,0.0,0.036987449899315836,8.0,A1,3
37,45.95379537953795,46.025454545454544,96.18811881188118,96.19090909090909,96.19090909090909,93.33333333333333,1.1028962622519218,45.976897689768975,2,96.4983498349835,35,28.56139931199141,230.48406929092016,259.0476878869813,1929.30419921875,0.01456939697265625,0.04998779296875,0.0,0.036971567794680596,8.0,A1,3
38,45.92079207920792,45.991818181818175,96.31683168316832,96.32,96.32,94.2,0.855466084787832,45.976897689768975,2,96.4983498349835,35,23.428955001058057,184.3225584999891,207.75319654401392,1929.30419921875,0.0145672607421875,0.04998779296875,0.0,0.03696103900671005,8.0,A1,3
