round,client_id,num_test_samples,global_acc,personalized_acc,global_macro_f1,personalized_macro_f1,gamma_mean,correction_ratio,seed,method_label
0,0,269,21.561338289962826,57.24907063197026,15.08266589000534,53.45956396544632,0.04998779296875,0.03791760222292414,3,A1
0,1,339,0.0,85.84070796460178,0.0,89.53823881826105,0.04998779296875,0.03791760222292414,3,A1
0,2,223,10.762331838565023,78.9237668161435,7.619047619047619,74.61475834091596,0.04998779296875,0.03791760222292414,3,A1
0,3,211,29.38388625592417,87.20379146919431,13.242835595776775,89.62650567301115,0.04998779296875,0.03791760222292414,3,A1
0,4,178,17.97752808988764,78.08988764044943,14.711538461538462,86.5032513368069,0.04998779296875,0.03791760222292414,3,A1
0,5,262,17.17557251908397,86.25954198473282,22.78684437191169,85.28994626310063,0.04998779296875,0.03791760222292414,3,A1
0,6,223,12.10762331838565,69.05829596412556,12.307692307692308,72.17419617419617,0.04998779296875,0.03791760222292414,3,A1
0,7,234,26.923076923076923,59.82905982905983,25.81088827402937,71.12164472835205,0.04998779296875,0.03791760222292414,3,A1
0,8,205,9.268292682926829,73.65853658536585,7.2968490878938645,72.66393880816887,0.04998779296875,0.03791760222292414,3,A1
0,9,319,10.031347962382446,85.26645768025078,10.087719298245613,84.47479596604798,0.04998779296875,0.03791760222292414,3,A1
1,0,269,21.561338289962826,68.77323420074349,15.08266589000534,64.20930819085604,0.04998779296875,0.03753483967453826,3,A1
1,1,339,0.0,97.93510324483776,0.0,98.43860557641989,0.04998779296875,0.03753483967453826,3,A1
1,2,223,11.210762331838565,86.54708520179372,7.8125,82.16369578134284,0.04998779296875,0.03753483967453826,3,A1
1,3,211,29.38388625592417,92.8909952606635,13.242835595776775,94.22253150160127,0.04998779296875,0.03753483967453826,3,A1
1,4,178,17.97752808988764,96.62921348314607,14.711538461538462,98.35456568461495,0.04998779296875,0.03753483967453826,3,A1
1,5,262,17.17557251908397,95.80152671755725,22.78684437191169,96.0424030656952,0.04998779296875,0.03753483967453826,3,A1
1,6,223,12.10762331838565,67.71300448430493,12.307692307692308,79.07589950577754,0.04998779296875,0.03753483967453826,3,A1
1,7,234,26.923076923076923,77.35042735042735,25.863519852976737,81.27277416342882,0.04998779296875,0.03753483967453826,3,A1
1,8,205,9.268292682926829,85.85365853658537,7.2968490878938645,87.10151458900532,0.04998779296875,0.03753483967453826,3,A1
1,9,319,10.031347962382446,93.41692789968653,10.087719298245613,93.63124560168895,0.04998779296875,0.03753483967453826,3,A1
2,0,269,21.561338289962826,79.5539033457249,15.08266589000534,79.31089800140786,0.04998779296875,0.03746995724299375,3,A1
2,1,339,0.0,96.7551622418879,0.0,98.25457875457874,0.04998779296875,0.03746995724299375,3,A1
2,2,223,10.31390134529148,93.27354260089686,7.419354838709677,93.9151936078075,0.04998779296875,0.03746995724299375,3,A1
2,3,211,29.38388625592417,96.2085308056872,13.242835595776775,96.5185427336457,0.04998779296875,0.03746995724299375,3,A1
2,4,178,17.97752808988764,95.50561797752809,14.711538461538462,97.95456568461495,0.04998779296875,0.03746995724299375,3,A1
2,5,262,16.793893129770993,93.5114503816794,22.38684437191169,93.82236803226178,0.04998779296875,0.03746995724299375,3,A1
