round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,47.26083401471791,46.73802376240275,85.90896702098665,86.9408076828303,86.9408076828303,64.91228070175438,12.344007946071953,47.26083401471791,0,85.90896702098665,0,13.14240847399924,73.93248439102899,87.07912535592914,1007.66650390625,0.01606589869449013,0.04998779296875,0.0,0.03971910986461138,8.0,A1,1
1,47.23357863177978,46.71302376240275,92.85908967020987,93.34434569568758,93.34434569568758,74.35233160621762,7.411072190343545,47.26083401471791,0,92.85908967020987,1,19.958544185035862,87.99375269410666,107.95373768499121,986.19873046875,0.01603136564555921,0.04998779296875,0.0,0.039348011150171884,8.0,A1,1
2,47.26083401471791,46.738730703276794,95.01226492232216,95.35615706835908,95.35615706835908,84.4559585492228,4.0986318422391665,47.26083401471791,0,95.01226492232216,2,20.528724408941343,85.03566884796601,105.56889645999763,986.19873046875,0.016029759457236843,0.04998779296875,0.0,0.03933904320001602,8.0,A1,1
3,47.28808939765604,46.76373070327679,96.94739711092942,97.17066994429177,97.17066994429177,94.55958549222798,1.5391915143566361,47.28808939765604,3,96.94739711092942,3,21.436009636032395,87.3552310729865,108.7959740679944,986.19873046875,0.016028153268914474,0.04998779296875,0.0,0.03933692429410784,8.0,A1,1
4,47.20632324884165,46.68731682152871,97.19269555737259,97.39802319579319,97.39802319579319,95.46599496221663,1.5385993360001882,47.28808939765604,3,97.19269555737259,4,20.909398278105073,78.95430067100096,99.8649048700463,986.19873046875,0.016029759457236843,0.04998779296875,0.0,0.039335337516508605,8.0,A1,1
5,47.26083401471791,46.738730703276794,97.5742709185064,97.7550477049329,97.7550477049329,95.46599496221663,1.6491783873756303,47.28808939765604,3,97.5742709185064,5,20.434052158962004,82.12546650099102,102.56144768302329,986.19873046875,0.016030562551398026,0.04998779296875,0.0,0.0393343669803519,8.0,A1,1
6,47.28808939765604,46.763793359918395,97.68329245025893,97.85272519353,97.85272519353,94.96221662468514,1.70512188320722,47.28808939765604,3,97.68329245025893,6,21.741126687033102,80.08885072206613,101.8316442159703,986.19873046875,0.016033774928042765,0.04998779296875,0.0,0.03933559926716905,8.0,A1,1
7,47.342600163532296,46.81417119367154,97.73780321613519,97.90374731151559,97.90374731151559,95.46599496221663,1.6325283504072539,47.342600163532296,7,97.73780321613519,7,21.437747532967478,85.10612243192736,106.54623259801883,986.19873046875,0.016029759457236843,0.04998779296875,0.0,0.03932945253817659,8.0,A1,1
8,47.28808939765604,46.763023762402746,97.98310166257836,98.13233667460653,98.13233667460653,96.4735516372796,1.3117954504595284,47.342600163532296,7,97.98310166257836,8,21.39676348795183,74.06011650699656,95.45935067697428,986.19873046875,0.016028956363075657,0.04998779296875,0.0,0.0393281388831766,8.0,A1,1
9,47.26083401471791,46.738730703276794,98.2829108748978,98.40750976757025,98.40750976757025,96.6321243523316,1.132761576944926,47.342600163532296,7,98.2829108748978,9,21.55454198794905,89.23204675200395,110.78812016604934,986.19873046875,0.016028956363075657,0.04998779296875,0.0,0.03932652171505125,8.0,A1,1
