round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,49.75550122249389,50.52267287187501,85.57457212713936,85.44259617489064,85.44259617489064,81.81818181818181,2.437095999493199,49.75550122249389,0,85.57457212713936,0,15.222247034078464,25.101716432953253,40.32635057310108,968.427734375,0.014614334106445312,0.04998779296875,0.0,0.03735349740833044,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
1,49.75550122249389,50.52267287187501,88.26405867970661,88.57203519220798,88.57203519220798,86.3481228668942,1.5624954881830462,49.75550122249389,0,88.26405867970661,1,17.11971993104089,26.423179058008827,43.545200358028524,967.80615234375,0.014627685546875,0.04998779296875,0.0,0.0365274778008461,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
2,49.75550122249389,50.52267287187501,88.50855745721272,89.12017833298906,89.12017833298906,84.0909090909091,3.9703692534788066,49.75550122249389,0,88.50855745721272,2,22.44395849609282,34.83236660901457,57.28076003596652,967.80615234375,0.014609603881835938,0.04998779296875,0.0,0.03623666197061539,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
3,49.877750611246945,50.709938789478,90.09779951100245,90.72277135963606,90.72277135963606,87.03071672354949,2.3081304351166216,49.877750611246945,3,90.09779951100245,3,30.70452212705277,45.10021409008186,75.80892405903433,967.80615234375,0.014617691040039063,0.04998779296875,0.0,0.0360098872333765,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
4,49.75550122249389,50.52267287187501,91.32029339853301,92.37512312023766,92.37512312023766,88.05460750853243,2.4209382933079415,49.877750611246945,3,91.32029339853301,4,22.695841580978595,33.25831958500203,55.95734842994716,967.80615234375,0.014619979858398437,0.04998779296875,0.0,0.03578658297657967,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
5,49.877750611246945,50.709938789478,90.58679706601467,90.97505268677423,90.97505268677423,86.95652173913044,2.6082210788179796,49.877750611246945,3,91.32029339853301,4,25.078430796042085,35.99520083493553,61.0762464790605,967.80615234375,0.014617843627929688,0.04998779296875,0.0,0.03557140417397022,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
6,49.75550122249389,50.52267287187501,91.56479217603912,93.30213680836114,93.30213680836114,88.73720136518772,3.183036189206531,49.877750611246945,3,91.56479217603912,6,26.258123054984026,44.29534118704032,70.55797413294204,967.80615234375,0.014616165161132812,0.04998779296875,0.0,0.03535078547894955,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
7,49.75550122249389,50.52267287187501,91.68704156479218,93.41837465312727,93.41837465312727,88.73720136518772,3.2836254833109417,49.877750611246945,3,91.68704156479218,7,24.363599375006743,33.750023241038434,58.11621031106915,967.80615234375,0.014613418579101563,0.04998779296875,0.0,0.03516397770494223,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
8,49.75550122249389,50.52267287187501,91.0757946210269,92.7494092597397,92.7494092597397,88.73720136518772,2.9962186743674164,49.877750611246945,3,91.68704156479218,7,25.129921387066133,47.53435703297146,72.66588953998871,967.80615234375,0.014606246948242188,0.04998779296875,0.0,0.03491209331899881,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
9,49.877750611246945,50.709938789478,91.93154034229829,93.67533949759023,93.67533949759023,89.07849829351535,2.9200923602560396,49.877750611246945,3,91.93154034229829,9,41.19264279992785,73.61925597803202,114.81646406406071,967.80615234375,0.014584732055664063,0.04998779296875,0.0,0.034448573999106884,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
10,49.75550122249389,50.52267287187501,91.32029339853301,93.67793031194128,93.67793031194128,87.71331058020478,4.120793039151723,49.877750611246945,3,91.93154034229829,9,40.96108616795391,62.83453257102519,103.79688167397399,967.80615234375,0.014565277099609374,0.04998779296875,0.0,0.034287879802286626,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
11,49.75550122249389,50.52267287187501,91.80929095354523,93.91827770296509,93.91827770296509,89.07849829351535,3.3594654655264122,49.877750611246945,3,91.93154034229829,9,39.56085579993669,66.23391225701198,105.81438882905059,967.80615234375,0.014535675048828125,0.04998779296875,0.0,0.03411651838570833,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
