round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,52.93928686154835,53.25531037960992,85.73723096691295,85.45076322772852,85.45076322772852,72.22222222222223,8.218766899169047,52.93928686154835,0,85.73723096691295,0,104.23715984704904,95.71620208700188,199.958794367034,1414.06005859375,0.014599202210421389,0.04998882076283193,0.0,0.03642796784870983,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
1,52.97141021522647,53.264531851906256,87.21490523610665,87.10627774296401,87.10627774296401,74.78632478632478,7.669691355758062,52.97141021522647,1,87.21490523610665,1,104.07400916994084,96.49637155595701,200.57491050998215,1397.56298828125,0.014608491887700373,0.04999040198449644,0.0,0.03527299708498574,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
2,52.97141021522647,53.2633867700329,87.60038548024414,87.45688954956638,87.45688954956638,74.5049504950495,7.655463600862388,52.97141021522647,1,87.60038548024414,2,149.77614803693723,166.3798199390294,316.1624602780212,1397.56298828125,0.014568803223921227,0.049991983206160946,0.0,0.03485806885662783,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
3,52.90716350787022,53.158960079104254,88.2107292001285,88.10452703874348,88.10452703874348,75.0,7.508721621042757,52.97141021522647,1,88.2107292001285,3,145.05183384602424,169.49835043295752,314.55602323589846,1397.56298828125,0.014549887859759553,0.0499921709762336,3.827528341479088e-08,0.034512936875918984,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
4,52.8750401541921,53.161232045431326,87.9537423707035,87.97758366741294,87.97758366741294,74.57264957264957,7.241947092040646,52.97141021522647,1,88.2107292001285,3,151.4029289809987,153.07786818302702,304.48612757597584,1397.56298828125,0.01452950986555821,0.04999498752732351,0.0,0.03417255727506672,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
5,52.90716350787022,53.19269609640624,88.082235785416,88.04171906976256,88.04171906976256,75.85470085470085,7.13020799027593,52.97141021522647,1,88.2107292001285,3,158.1867716469569,159.27333064493723,317.4748123929603,1397.56298828125,0.014528719254725955,0.04999364348890868,0.0,0.03385234012273309,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
6,52.842916800513976,53.10513570993281,88.46771602955349,88.27776996814913,88.27776996814913,76.28205128205128,7.108393609467722,52.97141021522647,1,88.46771602955349,6,159.5261134969769,161.89510066295043,321.42601430707145,1397.56298828125,0.01452073408532019,0.0499921413283274,0.0,0.03352645076232253,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
7,52.90716350787022,53.158960079104254,88.17860584645037,87.99261252081757,87.99261252081757,75.0,7.47712269959508,52.97141021522647,1,88.46771602955349,6,153.0244365739636,173.81968419393525,326.85029778594617,1397.56298828125,0.014529272682308534,0.0499921413283274,0.0,0.033230902491996325,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
8,52.90716350787022,53.164344667088784,88.46771602955349,88.50123187912763,88.50123187912763,76.92307692307692,6.836433609426443,52.97141021522647,1,88.46771602955349,6,145.88254109001718,164.70615046902094,310.60209033696447,1397.56298828125,0.014525398689230489,0.0499921413283274,0.0,0.032924329432528564,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
9,52.90716350787022,53.15942459043833,88.46771602955349,88.35203727695128,88.35203727695128,76.06837606837607,7.187982045556197,52.97141021522647,1,88.46771602955349,6,152.40312049502973,165.73428191104904,318.14248342299834,1397.56298828125,0.014511009572083467,0.0499918399079476,3.0858519056104995e-08,0.03262412285075132,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
