round,client_id,num_test_samples,global_acc,personalized_acc,global_macro_f1,personalized_macro_f1,gamma_mean,correction_ratio,seed,method_label
0,0,207,56.03864734299517,81.15942028985508,50.899864369157164,78.35927458665014,0.04998882076283193,0.03642796784870983,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,1,277,56.67870036101083,87.36462093862816,45.085313457162194,77.68288687392513,0.04998882076283193,0.03642796784870983,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,2,404,42.82178217821782,73.76237623762377,42.35476565265301,71.74938390405092,0.04998882076283193,0.03642796784870983,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,3,468,44.65811965811966,72.22222222222223,40.14272983056911,69.55746104710688,0.04998882076283193,0.03642796784870983,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,4,426,53.755868544600936,92.72300469483568,48.55994706897285,93.01803659642106,0.04998882076283193,0.03642796784870983,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,5,461,55.96529284164859,94.57700650759219,46.82839223372229,93.69225369333782,0.04998882076283193,0.03642796784870983,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,6,410,56.34146341463415,88.53658536585365,50.1135724596963,87.40495941815804,0.04998882076283193,0.03642796784870983,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
0,7,460,59.78260869565217,93.26086956521739,49.224057475993284,89.04081872824958,0.04998882076283193,0.03642796784870983,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,0,207,56.03864734299517,84.54106280193237,50.899864369157164,82.98001203633495,0.04999040198449644,0.03527299708498574,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,1,277,56.31768953068592,89.89169675090253,44.99105367365958,80.56546889050543,0.04999040198449644,0.03527299708498574,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,2,404,42.82178217821782,75.0,42.32953648773836,72.73869352042726,0.04999040198449644,0.03527299708498574,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,3,468,44.65811965811966,74.78632478632478,40.14759639033904,72.29904100302332,0.04999040198449644,0.03527299708498574,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,4,426,53.755868544600936,93.89671361502347,48.55994706897285,93.53575317324263,0.04999040198449644,0.03527299708498574,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,5,461,55.96529284164859,94.36008676789588,46.82839223372229,91.84636922910097,0.04999040198449644,0.03527299708498574,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,6,410,56.34146341463415,90.2439024390244,50.1135724596963,89.722106964301,0.04999040198449644,0.03527299708498574,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
1,7,460,60.21739130434783,94.1304347826087,49.77863360433991,90.1504185838805,0.04999040198449644,0.03527299708498574,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,0,207,56.03864734299517,85.02415458937197,50.899864369157164,80.75758705849202,0.049991983206160946,0.03485806885662783,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,1,277,56.31768953068592,89.53068592057761,44.99105367365958,79.1682080757711,0.049991983206160946,0.03485806885662783,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,2,404,42.82178217821782,74.5049504950495,42.35476565265301,72.56338978055268,0.049991983206160946,0.03485806885662783,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,3,468,44.65811965811966,76.06837606837607,40.149769358179036,73.72803255004466,0.049991983206160946,0.03485806885662783,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,4,426,53.990610328638496,94.60093896713614,48.93828853427083,94.16050720708755,0.049991983206160946,0.03485806885662783,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,5,461,55.96529284164859,95.01084598698482,46.82839223372229,91.86906181541278,0.049991983206160946,0.03485806885662783,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,6,410,56.09756097560975,91.21951219512195,50.010831908937114,89.71521589096916,0.049991983206160946,0.03485806885662783,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
2,7,460,60.21739130434783,93.69565217391305,49.75651546746767,88.36320059796387,0.049991983206160946,0.03485806885662783,3,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)"
