round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,70.75050709939148,69.82482169470019,94.15821501014199,93.30363746088021,93.30363746088021,75.32467532467533,6.439351995705602,70.75050709939148,0,94.15821501014199,0,67.5206441389164,179.30551550688688,246.82754880492575,1923.94189453125,0.014552459716796876,0.04998779296875,0.0,0.03795192331075668,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
1,70.54766734279919,69.57063019540247,96.55172413793103,95.85318262791847,95.85318262791847,88.31168831168831,3.159324199529693,70.75050709939148,0,96.55172413793103,1,65.61440310708713,159.47570331697352,225.09382145409472,1921.05126953125,0.01459320068359375,0.04998779296875,0.0,0.037737455517053604,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
2,70.75050709939148,69.77217144393,97.44421906693712,96.93951875968165,96.93951875968165,89.6103896103896,2.701773344390542,70.75050709939148,0,97.44421906693712,2,66.04938204097562,175.62312185997143,241.68115767592099,1921.05126953125,0.014586944580078125,0.04998779296875,0.0,0.03770850099623203,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
3,70.75050709939148,69.79244580673546,97.93103448275862,97.6935805436144,97.6935805436144,94.8051948051948,1.6074679762412185,70.75050709939148,0,97.93103448275862,3,63.47634762490634,163.71234199102037,227.19377291202545,1921.05126953125,0.014588470458984376,0.04998779296875,0.0,0.037683741003274915,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
4,70.54766734279919,69.57488431894066,98.66125760649088,98.47917375498864,98.47917375498864,96.1038961038961,1.0761419361892914,70.75050709939148,0,98.66125760649088,4,64.05424470198341,169.90424215199891,233.95976267603692,1921.05126953125,0.014586181640625,0.04998779296875,0.0,0.03766372688114643,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
5,70.70993914807302,69.82271631797691,98.49898580121703,98.22491664957501,98.22491664957501,92.85714285714286,1.9658019316708948,70.75050709939148,0,98.66125760649088,4,64.65153883199673,159.3503598140087,224.0094706460368,1921.05126953125,0.014580078125,0.04998779296875,0.0,0.03764090396463871,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
6,70.75050709939148,69.84746879322445,98.13387423935092,97.81995485813542,97.81995485813542,92.20779220779221,2.1926174528987894,70.75050709939148,0,98.66125760649088,4,69.93179887998849,156.40116422995925,226.34062385105062,1921.05126953125,0.01457855224609375,0.04998779296875,0.0,0.037620169222354886,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
7,70.6288032454361,69.73426957521346,98.62068965517241,98.41647298148222,98.41647298148222,94.8051948051948,1.5337699440158359,70.75050709939148,0,98.66125760649088,4,64.59484079002868,168.28954907192383,232.89087351900525,1921.05126953125,0.0145733642578125,0.04998779296875,0.0,0.037597304806113244,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
8,70.75050709939148,69.80759638493097,98.78296146044624,98.6247070985447,98.6247070985447,95.45454545454545,1.319261704592391,70.75050709939148,0,98.78296146044624,8,67.49022428295575,152.91534695890732,220.41006700100843,1921.05126953125,0.014574127197265625,0.04998779296875,0.0,0.0375813440233469,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
9,70.75050709939148,69.79275598812953,98.90466531440163,98.85328154329078,98.85328154329078,96.75324675324676,0.880300883790021,70.75050709939148,0,98.90466531440163,9,52.09751925000455,147.52097551105544,199.62444817391224,1921.05126953125,0.01457061767578125,0.04998779296875,0.0,0.03756011076271534,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
