round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,27.18676122931442,28.138888888888893,47.931442080378254,46.97222222222223,46.97222222222223,28.333333333333332,11.373600850051682,27.18676122931442,0,47.931442080378254,0,11.844392827013507,38.67110034893267,50.51815191307105,1133.54541015625,0.01565953304893092,0.04998779296875,0.0,0.03879209509805629,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
1,27.18676122931442,28.22222222222222,56.205673758865245,54.58333333333333,54.58333333333333,29.166666666666668,14.124255688900284,27.18676122931442,0,56.205673758865245,1,13.14400036004372,48.42962367401924,61.576430218992755,1135.05908203125,0.015681216591282895,0.04998779296875,0.0,0.03871247799772965,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
2,26.95035460992908,28.0,64.95271867612293,64.72222222222221,64.72222222222221,49.44444444444444,9.59439779953919,27.18676122931442,0,64.95271867612293,2,15.092213694937527,73.53635844902601,88.63136589201167,1135.05908203125,0.015678807308799343,0.04998779296875,0.0,0.03866071332442133,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
3,26.89125295508274,27.77777777777778,69.91725768321513,69.38888888888889,69.38888888888889,53.888888888888886,8.423402145434094,27.18676122931442,0,69.91725768321513,3,26.76856572192628,77.13618177606259,103.91452715499327,1135.05908203125,0.015679610402960526,0.04998779296875,0.0,0.03864465653896332,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
4,27.127659574468087,28.083333333333332,76.18203309692672,76.19444444444446,76.19444444444446,63.888888888888886,8.110017049501801,27.18676122931442,0,76.18203309692672,4,21.69714295200538,77.16805943206418,98.86712720291689,1135.05908203125,0.015683625873766448,0.04998779296875,0.0,0.038631753113709,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
5,27.18676122931442,28.138888888888893,77.30496453900709,77.75,77.75,52.77777777777778,10.233726919684083,27.18676122931442,0,77.30496453900709,5,26.56976270209998,78.81011655298062,105.39348889398389,1135.05908203125,0.01569165681537829,0.04999100534539474,0.0,0.03862153797557479,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
6,27.06855791962175,28.111111111111107,81.20567375886525,81.66666666666666,81.66666666666666,71.66666666666667,7.000881778677049,27.18676122931442,0,81.20567375886525,6,23.363903312012553,111.97557022294495,135.3407060870668,1135.05908203125,0.01569727847450658,0.04999100534539474,0.0,0.03859634030806391,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
7,26.89125295508274,27.944444444444446,83.03782505910165,83.47222222222221,83.47222222222221,67.22222222222223,7.608525513779074,27.18676122931442,0,83.03782505910165,7,50.909847163944505,135.29777215595823,186.21300148998853,1135.05908203125,0.01569928620990954,0.049992611533717105,0.0,0.038576504509699974,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
8,27.06855791962175,28.111111111111107,82.97872340425532,83.33333333333334,83.33333333333334,71.66666666666667,4.402580612479765,27.18676122931442,0,83.03782505910165,7,41.3921211399138,140.54438723099884,181.93800460803322,1135.05908203125,0.015696073833264802,0.04999100534539474,0.0,0.03855715672436513,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
9,27.009456264775412,28.055555555555554,83.62884160756501,84.27777777777777,84.27777777777777,72.77777777777777,6.867574553429586,27.18676122931442,0,83.62884160756501,9,40.20691787498072,131.15496371802874,171.3648276339518,1135.05908203125,0.015693263003700657,0.04999100534539474,0.0,0.03854528481238767,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
10,27.245862884160758,28.27777777777778,83.92434988179669,84.38888888888889,84.38888888888889,68.88888888888889,7.338592390343326,27.245862884160758,10,83.92434988179669,10,39.82528502098285,145.57859642000403,185.41097569302656,1135.05908203125,0.015692459909539474,0.049992611533717105,0.0,0.0385283916012237,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
11,27.18676122931442,28.22222222222222,87.64775413711584,88.05555555555557,88.05555555555557,78.88888888888889,5.129495920172052,27.245862884160758,10,87.64775413711584,11,33.826137951924466,136.99564328195993,170.83132988098077,1135.05908203125,0.015694066097861843,0.04999421772203947,0.0,0.03852151961703049,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
12,27.127659574468087,28.083333333333336,88.2387706855792,88.52777777777777,88.52777777777777,82.77777777777777,3.574709692089141,27.245862884160758,10,88.2387706855792,12,46.80437880300451,134.9457846749574,181.76026306895074,1135.05908203125,0.015694066097861843,0.04999421772203947,0.0,0.038507631538729915,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
13,27.30496453900709,28.333333333333332,87.82505910165484,88.22222222222221,88.22222222222221,82.22222222222223,4.8419463487779835,27.30496453900709,13,88.2387706855792,12,32.821917152032256,135.76050546998158,168.58377248805482,1135.05908203125,0.015698081568667765,0.04999421772203947,0.0,0.03850577810877248,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
14,26.832151300236408,27.72222222222222,89.83451536643027,90.02777777777777,90.02777777777777,83.33333333333333,3.226170952126635,27.30496453900709,13,89.83451536643027,14,45.79144667205401,124.02443407394458,169.8229515220737,1135.05908203125,0.015698884662828948,0.04999421772203947,0.0,0.03850237495805088,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
15,27.06855791962175,28.02777777777778,89.18439716312056,89.5,89.5,80.0,4.657729537494038,27.30496453900709,13,89.83451536643027,14,35.87434941099491,133.14961374900304,169.03117777500302,1135.05908203125,0.015700490851151317,0.04999421772203947,0.0,0.03849742267476885,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",2
