round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,45.914191419141915,45.985151515151514,87.74917491749174,87.7630303030303,87.7630303030303,83.86666666666666,2.7235704837550343,45.914191419141915,0,87.74917491749174,0,34.191470060963184,330.6206633199472,364.8160808319226,1936.57470703125,0.014558563232421875,0.04998779296875,0.0,0.03792513325810432,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
1,45.90759075907591,45.979393939393944,89.61716171617162,89.6269696969697,89.6269696969697,85.9,2.4957784191220505,45.914191419141915,0,89.61716171617162,1,43.26319209695794,346.8769639709499,390.159238236025,1930.14111328125,0.014603118896484375,0.04998779296875,0.0,0.03765065804123879,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
2,45.838283828382835,45.908484848484854,90.39273927392739,90.40060606060607,90.40060606060607,87.43333333333334,1.9987580165731462,45.914191419141915,0,90.39273927392739,2,45.67323403607588,341.15599730808754,386.8336776510114,1930.14111328125,0.014601898193359376,0.04998779296875,0.0,0.03763299323618412,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
3,45.914191419141915,45.983939393939394,91.25412541254126,91.25666666666667,91.25666666666667,87.8,2.2082698104071325,45.914191419141915,0,91.25412541254126,3,38.41355510207359,349.88765842595603,388.3057134769624,1930.14111328125,0.014601287841796875,0.04998779296875,0.0,0.03761996157467365,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
4,45.93399339933993,46.00575757575757,92.20462046204621,92.20878787878789,92.20878787878789,89.03333333333333,1.9381882852811554,45.93399339933993,4,92.20462046204621,4,41.293126748059876,343.59547292999923,384.90233009599615,1930.14111328125,0.014599761962890624,0.04998779296875,0.0,0.03760272108018398,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
5,45.917491749174914,45.98909090909091,92.79207920792079,92.80090909090907,92.80090909090907,89.2,1.87454704660505,45.93399339933993,4,92.79207920792079,5,43.54066607099958,351.7742368639447,395.31626439408865,1930.14111328125,0.014596099853515626,0.04998779296875,0.0,0.03758398301899433,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
6,45.98349834983498,46.055151515151515,93.23432343234323,93.23757575757577,93.23757575757577,90.03333333333333,1.608362101685358,45.98349834983498,6,93.23432343234323,6,46.498507805983536,344.10373868700117,390.6035845440347,1930.14111328125,0.0145977783203125,0.04998779296875,0.0,0.0375713673979044,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
7,45.93729372937294,46.00969696969697,93.67986798679868,93.68030303030302,93.68030303030302,90.53333333333333,1.7854396561744177,45.98349834983498,6,93.67986798679868,7,40.07938429899514,348.2595671939198,388.34278714098036,1930.14111328125,0.0145928955078125,0.04998779296875,0.0,0.03755123190581799,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
8,45.884488448844884,45.9560606060606,93.92079207920793,93.93515151515152,93.93515151515152,91.83333333333333,1.5106388556058388,45.98349834983498,6,93.92079207920793,8,38.06230217788834,461.9603779580211,500.026060409029,1930.14111328125,0.0145880126953125,0.04998779296875,0.0,0.03753080129623413,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
9,45.943894389438945,46.013636363636365,94.3069306930693,94.30818181818181,94.30818181818181,91.26666666666667,1.3996812243664263,45.98349834983498,6,94.3069306930693,9,64.55728904507123,488.0356709329644,552.6025451989844,1930.14111328125,0.01458709716796875,0.04998779296875,0.0,0.03751468941569328,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
10,45.84818481848185,45.92121212121212,94.39603960396039,94.40727272727273,94.40727272727273,92.36666666666666,1.3795004485694504,45.98349834983498,6,94.39603960396039,10,59.768441213993356,489.7842461280525,549.5549691349734,1930.14111328125,0.014586944580078125,0.04998779296875,0.0,0.03749768361449242,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
11,45.85478547854785,45.92545454545455,94.64026402640265,94.64545454545454,94.64545454545454,91.8,1.5715427313547117,45.98349834983498,6,94.64026402640265,11,62.371137898997404,491.11555645696353,553.4955962629756,1930.14111328125,0.014586029052734375,0.04998779296875,0.0,0.03747408226132393,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
12,45.97029702970297,46.04090909090909,94.83498349834983,94.84818181818183,94.84818181818183,92.0,1.437430526927435,45.98349834983498,6,94.83498349834983,12,54.35669169097673,430.6098417809699,484.96792468999047,1930.14111328125,0.014587860107421875,0.04998779296875,0.0,0.0374500223249197,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
13,45.97029702970297,46.04121212121212,95.02310231023102,95.02666666666667,95.02666666666667,92.43333333333334,1.3199999999999994,45.98349834983498,6,95.02310231023102,13,52.361950226011686,433.2982401900226,485.6679777990794,1930.14111328125,0.014586029052734375,0.04998779296875,0.0,0.03742773339152336,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
14,45.914191419141915,45.986969696969695,94.96369636963696,94.9639393939394,94.9639393939394,92.7,1.2465330801573373,45.98349834983498,6,95.02310231023102,13,48.75420446798671,434.88075065996964,483.63625438394956,1930.14111328125,0.014583740234375,0.04998779296875,0.0,0.03740374386310577,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
15,45.867986798679866,45.93848484848484,95.26072607260726,95.26818181818183,95.26818181818183,92.5,1.2619771462759075,45.98349834983498,6,95.26072607260726,15,53.06780008901842,437.15524387394544,490.2288556760177,1930.14111328125,0.0145880126953125,0.04998779296875,0.0,0.037390946298837664,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
16,45.92409240924093,45.99484848484849,95.42574257425743,95.43303030303032,95.43303030303032,92.46666666666667,1.4962919886623636,45.98349834983498,6,95.42574257425743,16,56.45249216607772,432.7899565320695,489.2480677351123,1930.14111328125,0.014587860107421875,0.04998779296875,0.0,0.037376663386821746,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
17,45.867986798679866,45.939393939393945,95.3036303630363,95.30484848484848,95.30484848484848,93.23333333333333,1.2495936529610994,45.98349834983498,6,95.42574257425743,16,55.06118139193859,424.50623897695914,479.5687870539259,1930.14111328125,0.014587249755859375,0.04998779296875,0.0,0.03736009173095226,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
18,45.93399339933993,46.00515151515152,95.3036303630363,95.32727272727273,95.32727272727273,92.33333333333333,1.4845695470837874,45.98349834983498,6,95.42574257425743,16,55.853226126986556,424.3403992659878,480.1949550539721,1930.14111328125,0.01458251953125,0.04998779296875,0.0,0.03734075494110584,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
19,45.94059405940594,46.011515151515155,95.67986798679868,95.69090909090909,95.69090909090909,92.93333333333334,1.4865241009358008,45.98349834983498,6,95.67986798679868,19,47.45532973005902,412.0662736509694,459.5372473850148,1930.14111328125,0.0145806884765625,0.049990234375,0.0,0.03732411287724972,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
20,45.960396039603964,46.03151515151515,95.77227722772277,95.77515151515152,95.77515151515152,93.36666666666666,1.3691778313587688,45.98349834983498,6,95.77227722772277,20,50.94456301804166,410.5227328770561,461.4688791600056,1930.14111328125,0.014577178955078126,0.0499908447265625,0.0,0.037302969321608544,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
21,45.884488448844884,45.95666666666666,95.66996699669967,95.66969696969697,95.66969696969697,92.93333333333334,1.2358867172849743,45.98349834983498,6,95.77227722772277,20,50.892255148035474,408.6069396539824,459.5028726559831,1930.14111328125,0.014583892822265625,0.0499908447265625,0.0,0.037288333475589755,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
22,45.82178217821782,45.89242424242424,95.89108910891089,95.89212121212121,95.89212121212121,93.3,1.0354685129555217,45.98349834983498,6,95.89108910891089,22,47.09479416999966,406.18433855101466,453.2824469379848,1930.14111328125,0.014585418701171875,0.0499908447265625,0.0,0.037251931130886075,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
23,45.85808580858086,45.92939393939394,95.88118811881188,95.87575757575756,95.87575757575756,92.86666666666666,1.2349115061070257,45.98349834983498,6,95.89108910891089,22,44.13622587104328,407.3092364160111,451.45399942202494,1930.14111328125,0.0145867919921875,0.0499908447265625,0.0,0.03723788194358349,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
24,45.99009900990099,46.06181818181818,96.0957095709571,96.09787878787878,96.09787878787878,92.73333333333333,1.3882843459323098,45.99009900990099,24,96.0957095709571,24,43.806236827978864,390.17863562097773,433.99118170689326,1930.14111328125,0.01458770751953125,0.0499908447265625,0.0,0.03722683623433113,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
25,45.87458745874587,45.94575757575758,96.04620462046205,96.04363636363635,96.04363636363635,93.23333333333333,1.4814222684830265,45.99009900990099,24,96.0957095709571,24,47.64820789999794,386.82434581406415,434.4780677310191,1930.14111328125,0.014587554931640625,0.0499908447265625,0.0,0.03721560157835484,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
26,45.88778877887789,45.95939393939394,96.12211221122112,96.11909090909089,96.11909090909089,93.33333333333333,1.1521641313160538,45.99009900990099,24,96.12211221122112,26,45.426946601015516,394.40088935301173,439.83820376801305,1930.14111328125,0.014587249755859375,0.0499908447265625,0.0,0.0372024916857481,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
27,45.9009900990099,45.97090909090908,96.07260726072607,96.06666666666666,96.06666666666666,92.86666666666666,1.1972189997378673,45.99009900990099,24,96.12211221122112,26,46.92306278203614,401.82919327297714,448.7579996639397,1930.14111328125,0.014584808349609376,0.0499908447265625,0.0,0.03718697376549244,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
28,45.93069306930693,46.00151515151516,96.18151815181518,96.17757575757577,96.17757575757577,91.4,1.6406146802115396,45.99009900990099,24,96.18151815181518,28,38.119920019991696,389.7517225909978,427.879468949046,1930.14111328125,0.0145855712890625,0.0499908447265625,0.0,0.03717512458562851,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
29,45.897689768976896,45.96818181818182,96.3102310231023,96.30787878787878,96.30787878787878,93.96666666666667,0.9339679070628298,45.99009900990099,24,96.3102310231023,29,39.133071649004705,339.6992832029937,378.843092039926,1930.14111328125,0.014589080810546875,0.04998779296875,0.0,0.03716819949448109,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
30,45.914191419141915,45.98606060606061,96.0957095709571,96.09454545454545,96.09454545454545,93.23333333333333,1.3337518626870979,45.99009900990099,24,96.3102310231023,29,33.92715381097514,354.01827002491336,387.9478248889791,1930.14111328125,0.014588470458984376,0.04998779296875,0.0,0.03715752735733986,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
31,45.884488448844884,45.95454545454545,96.17161716171617,96.17636363636363,96.17636363636363,92.83333333333333,1.3048928196946776,45.99009900990099,24,96.3102310231023,29,40.53606094501447,341.8099981690757,382.3484803379979,1930.14111328125,0.014588165283203124,0.04998779296875,0.0,0.037141897678375245,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
32,45.917491749174914,45.988484848484845,96.17161716171617,96.16787878787878,96.16787878787878,93.46666666666667,1.3187586338112074,45.99009900990099,24,96.3102310231023,29,36.61137516098097,325.34674848394934,361.96077762299683,1930.14111328125,0.014587249755859375,0.04998779296875,0.0,0.03712869681417942,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
33,45.94059405940594,46.012121212121215,96.24092409240924,96.23969696969696,96.23969696969696,93.53333333333333,1.0346720644686103,45.99009900990099,24,96.3102310231023,29,31.309077345998958,301.3668680929113,332.67964884103276,1930.14111328125,0.014588165283203124,0.04998779296875,0.0,0.03711860924959183,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
34,45.881188118811885,45.95333333333333,96.04950495049505,96.04757575757576,96.04757575757576,92.7,1.3465809167254887,45.99009900990099,24,96.3102310231023,29,27.811458542011678,260.66827347595245,288.48098206997383,1930.14111328125,0.0145867919921875,0.04998779296875,0.0,0.03710627570748329,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
35,45.92079207920792,45.99151515151515,96.0990099009901,96.0960606060606,96.0960606060606,93.6,1.0974526393809059,45.99009900990099,24,96.3102310231023,29,26.22965904697776,270.7859049780527,297.01689810003154,1930.14111328125,0.014585113525390625,0.049988441467285157,1.477425939810928e-07,0.03709579907357693,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
36,45.89108910891089,45.961818181818174,96.22442244224422,96.21818181818182,96.21818181818182,94.0,0.9898094166853745,45.99009900990099,24,96.3102310231023,29,30.06144636508543,267.3956917900359,297.4586705790134,1930.14111328125,0.01458282470703125,0.04998779296875,0.0,0.03708251476287842,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
37,45.973597359735976,46.04606060606061,95.92739273927393,95.92121212121211,95.92121212121211,93.13333333333334,1.1538294128897826,45.99009900990099,24,96.3102310231023,29,25.674878755002283,256.0052314499626,281.68563884694595,1930.14111328125,0.014584503173828124,0.0499884033203125,0.0,0.037075501531362534,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
38,45.973597359735976,46.04424242424242,96.39603960396039,96.39393939393939,96.39393939393939,93.13333333333334,1.194426142896924,45.99009900990099,24,96.39603960396039,38,25.15808832703624,267.8971427810611,293.05965305503923,1930.14111328125,0.01458465576171875,0.0499908447265625,0.0,0.03706688925623894,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
39,45.84488448844885,45.91606060606061,96.37623762376238,96.37666666666668,96.37666666666668,93.83333333333333,1.091690839427028,45.99009900990099,24,96.39603960396039,38,28.841474820044823,221.90197318105493,250.74798261094838,1930.14111328125,0.01458343505859375,0.0499908447265625,0.0,0.037055234387516976,8.0,"custom(dynamic_gate=True, freeze_anchor=False, alignment=mse)",3
