round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,49.75550122249389,50.52267287187501,85.33007334963325,85.13401736526014,85.13401736526014,81.81818181818181,2.5083426124680845,49.75550122249389,0,85.33007334963325,0,25.752972673974,30.42239437205717,56.17897504498251,968.43603515625,0.014619140625,0.04998779296875,0.0,0.0373546040058136,8.0,A2,3
1,49.877750611246945,50.709938789478,88.01955990220048,88.13636449203216,88.13636449203216,86.00682593856655,1.8265130199005868,49.877750611246945,1,88.01955990220048,1,27.026238868013024,35.486522326944396,62.51746495603584,967.814453125,0.014628982543945313,0.04998779296875,0.0,0.03652554895728827,8.0,A2,3
2,49.877750611246945,50.709938789478,88.75305623471883,89.24916911754907,89.24916911754907,84.0909090909091,4.028244968148682,49.877750611246945,1,88.75305623471883,2,33.05876170494594,47.80720922292676,80.86719272297341,967.814453125,0.014630355834960938,0.04998779296875,0.0,0.03626395024359226,8.0,A2,3
3,49.75550122249389,50.52267287187501,89.73105134474328,90.5368977536881,90.5368977536881,87.03071672354949,2.256488196607366,49.877750611246945,1,89.73105134474328,3,33.719520921004005,40.52164433489088,74.24476929905359,967.814453125,0.0146356201171875,0.04998779296875,0.0,0.03602350149303675,8.0,A2,3
4,49.877750611246945,50.709938789478,90.83129584352078,92.13744174016313,92.13744174016313,87.37201365187714,2.628729228126177,49.877750611246945,1,90.83129584352078,4,32.19374636502471,44.36575045599602,76.56530477001797,967.814453125,0.014631271362304688,0.04998779296875,0.0,0.03580645442008972,8.0,A2,3
5,49.75550122249389,50.52267287187501,89.97555012224939,90.80072148700408,90.80072148700408,86.95652173913044,2.9475458620236212,49.877750611246945,1,90.83129584352078,4,38.48424992209766,75.77704781200737,114.26576051698066,967.814453125,0.014615249633789063,0.04998779296875,0.0,0.03560338236391544,8.0,A2,3
6,49.75550122249389,50.52267287187501,91.80929095354523,93.87148181042176,93.87148181042176,87.71331058020478,3.8924155336974184,49.877750611246945,1,91.80929095354523,6,56.0143989790231,57.22950050001964,113.24516627797857,967.814453125,0.014621963500976562,0.04998779296875,0.0,0.035426159538328644,8.0,A2,3
7,49.75550122249389,50.52267287187501,91.56479217603912,93.486799880693,93.486799880693,88.39590443686006,3.4816254561254203,49.877750611246945,1,91.80929095354523,6,40.05946036090609,60.6768926839577,100.74209020496346,967.814453125,0.01461578369140625,0.04998779296875,0.0,0.035242104083299634,8.0,A2,3
8,49.75550122249389,50.52267287187501,91.44254278728606,93.35647995015609,93.35647995015609,89.07849829351535,2.925000798375189,49.877750611246945,1,91.80929095354523,6,47.123376057017595,67.9764297149377,115.1064794419799,967.814453125,0.014609527587890626,0.04998779296875,0.0,0.03506524760276079,8.0,A2,3
9,49.75550122249389,50.52267287187501,92.29828850855746,93.80185808016,93.80185808016,89.419795221843,3.008658823848368,49.877750611246945,1,92.29828850855746,9,55.69850261299871,69.67534160602372,125.37619245401584,967.814453125,0.014609298706054687,0.04998779296875,0.0,0.03486333526670933,8.0,A2,3
10,49.63325183374083,50.46579005048707,91.32029339853301,93.68300535920265,93.68300535920265,87.37201365187714,4.16337550439908,49.877750611246945,1,92.29828850855746,9,44.703430954949,65.24061600805726,109.94549299695063,967.814453125,0.014595870971679687,0.04998779296875,0.0,0.03468943364918232,8.0,A2,3
11,49.75550122249389,50.52267287187501,92.1760391198044,93.97884325995936,93.97884325995936,89.07849829351535,2.9720483163598006,49.877750611246945,1,92.29828850855746,9,49.99637772003189,75.95228038204368,125.9552046660101,967.814453125,0.014578704833984374,0.04998779296875,0.0,0.034531090669333936,8.0,A2,3
12,49.75550122249389,50.52267287187501,91.56479217603912,93.50469103342641,93.50469103342641,88.05460750853243,3.2002236901494454,49.877750611246945,1,92.29828850855746,9,51.93423202494159,75.39546140504535,127.33926805609372,967.814453125,0.014590301513671876,0.04998779296875,0.0,0.03440670672804117,8.0,A2,3
13,49.75550122249389,50.52267287187501,91.56479217603912,92.98835662011298,92.98835662011298,87.03703703703704,4.09396708206042,49.877750611246945,1,92.29828850855746,9,46.66453880094923,69.65242834796663,116.32109101791866,967.814453125,0.014559326171875,0.04998779296875,0.0,0.03423253942281008,8.0,A2,3
14,49.877750611246945,50.709938789478,91.32029339853301,93.31875426180032,93.31875426180032,87.71331058020478,3.5916364050724368,49.877750611246945,1,92.29828850855746,9,46.59558970609214,82.55388124100864,129.15195618208963,967.814453125,0.014535980224609375,0.04998779296875,0.0,0.03406542502343655,8.0,A2,3
15,49.75550122249389,50.52267287187501,92.05378973105134,94.10662351090328,94.10662351090328,88.39590443686006,3.3418288001898753,49.877750611246945,1,92.29828850855746,9,47.047182779992,78.90693220996764,125.955248988932,967.814453125,0.014530029296875,0.04998779296875,0.0,0.0339018315821886,8.0,A2,3
16,49.75550122249389,50.52267287187501,92.05378973105134,94.1737195924921,94.1737195924921,88.39590443686006,3.1150571188264915,49.877750611246945,1,92.29828850855746,9,43.22020766302012,66.47330465295818,109.69486165302806,967.814453125,0.014513626098632812,0.04998779296875,0.0,0.03373163186013699,8.0,A2,3
17,49.75550122249389,50.52267287187501,92.42053789731051,93.77882871448708,93.77882871448708,88.88888888888889,3.565615286344094,49.877750611246945,1,92.42053789731051,17,48.17844862898346,81.86510476307012,130.047564557055,967.814453125,0.014498214721679687,0.04998779296875,0.0,0.03358394782990217,8.0,A2,3
