round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,69.89858012170386,67.02852021242015,94.56389452332657,93.2786925095371,93.2786925095371,77.92207792207792,5.778927379917589,69.89858012170386,0,94.56389452332657,0,15.107077584951185,40.877042519976385,55.986885124933906,1923.94189453125,0.0157110595703125,0.04998779296875,0.0,0.03836463868618011,8.0,A2,2
1,69.93914807302231,67.08417552421722,97.28194726166329,96.32413426095069,96.32413426095069,88.31168831168831,3.854180496199135,69.93914807302231,1,97.28194726166329,1,16.979881271952763,46.820299746003,63.80752278107684,1921.05126953125,0.01576995849609375,0.04998779296875,0.0,0.03705146618187428,8.0,A2,2
2,69.89858012170386,67.05876695926433,97.8498985801217,97.1729419759073,97.1729419759073,84.41558441558442,4.340777929125628,69.93914807302231,1,97.8498985801217,2,22.81935910496395,54.53056755603757,77.35386672092136,1921.05126953125,0.015762939453125,0.04998779296875,0.0,0.0370170284807682,8.0,A2,2
3,69.81744421906694,67.01026400678592,98.49898580121703,98.07322871607747,98.07322871607747,92.20779220779221,2.1173913836428686,69.93914807302231,1,98.49898580121703,3,32.27082648698706,88.86310027202126,121.14404611894861,1921.05126953125,0.01576904296875,0.04998779296875,0.0,0.03699768260121346,8.0,A2,2
4,69.81744421906694,66.98612688440178,98.09330628803245,97.43593477581399,97.43593477581399,87.01298701298701,3.6405912881128226,69.93914807302231,1,98.49898580121703,3,40.61030217399821,86.06452175101731,126.68324965098873,1921.05126953125,0.015765380859375,0.04998779296875,0.0,0.036979713588953016,8.0,A2,2
5,69.8580121703854,66.99414207572335,98.13387423935092,97.75903922563157,97.75903922563157,88.96103896103897,2.9955159947461243,69.93914807302231,1,98.49898580121703,3,37.58480462792795,138.2567256380571,175.8461166259367,1921.05126953125,0.0157659912109375,0.04998779296875,0.0,0.03696369104087353,8.0,A2,2
6,69.81744421906694,66.9659406722651,98.41784989858012,98.08765691197361,98.08765691197361,92.20779220779221,2.2073121373214595,69.93914807302231,1,98.49898580121703,3,58.506961720995605,105.69214195909444,164.212809456978,1921.05126953125,0.0157672119140625,0.04998779296875,0.0,0.03694338716566563,8.0,A2,2
7,69.8580121703854,67.0680874492443,98.37728194726166,97.900203168154,97.900203168154,90.9090909090909,2.5644440081465616,69.93914807302231,1,98.49898580121703,3,52.7657700489508,139.30114494403824,192.06812976801302,1921.05126953125,0.0157684326171875,0.04998779296875,0.0,0.03692342303693295,8.0,A2,2
8,69.93914807302231,67.12532438500419,98.58012170385396,98.26137489055908,98.26137489055908,93.50649350649351,1.8022992849502186,69.93914807302231,1,98.58012170385396,8,52.79780393803958,120.42528527404647,173.22783701401204,1921.05126953125,0.01576751708984375,0.04998779296875,0.0,0.03689160078763962,8.0,A2,2
9,69.8580121703854,66.99352171293519,98.49898580121703,98.11029132249948,98.11029132249948,90.9090909090909,2.5288187888166447,69.93914807302231,1,98.58012170385396,8,53.214126016013324,143.17328031698707,196.39901251893025,1921.05126953125,0.01577178955078125,0.04998779296875,0.0,0.036874560713768004,8.0,A2,2
10,69.81744421906694,66.94497802361481,98.98580121703854,98.63396341457926,98.63396341457926,94.8051948051948,1.658012207201687,69.93914807302231,1,98.98580121703854,10,54.741537792026065,121.07035509496927,175.82096349506173,1921.05126953125,0.0157757568359375,0.04998779296875,0.0,0.03685443535447121,8.0,A2,2
11,69.89858012170386,67.13302251417937,98.78296146044624,98.3202783545155,98.3202783545155,90.9090909090909,2.6078601255721083,69.93914807302231,1,98.98580121703854,10,52.61666126095224,147.76628449000418,200.38424113893416,1921.05126953125,0.01578094482421875,0.04998779296875,0.0,0.036837908402085305,8.0,A2,2
12,69.8580121703854,67.04759105571355,98.98580121703854,98.74432872994906,98.74432872994906,96.1038961038961,1.2006494616003964,69.93914807302231,1,98.98580121703854,10,56.808793892967515,123.76500799506903,180.58049567008857,1921.05126953125,0.0157794189453125,0.04998779296875,0.0,0.0368195266276598,8.0,A2,2
13,69.97971602434077,67.08839587901679,99.06693711967546,98.8602095732119,98.8602095732119,96.1038961038961,1.2358163249832437,69.97971602434077,13,99.06693711967546,13,54.02449054911267,142.38430316594895,196.41003167105373,1921.05126953125,0.0157806396484375,0.04998779296875,0.0,0.03680389046669006,8.0,A2,2
