round,gm_micro,gm_macro_client,pm_micro,pm_macro_client,mean_client_acc,worst_client_acc,client_acc_std,best_gm_micro_so_far,best_gm_round,best_pm_micro_so_far,best_pm_round,round_train_sec,round_eval_sec,round_total_sec,peak_memory_mb,spf_shared_loss_mean,spf_gamma_mean,spf_gamma_std,spf_correction_ratio_mean,spf_rank_mean,method_label,seed
0,26.12293144208038,26.72222222222223,36.170212765957444,35.08333333333333,35.08333333333333,2.7777777777777777,15.218597500313331,26.12293144208038,0,36.170212765957444,0,15.796157435048372,48.2593781290343,64.0604291879572,1132.80029296875,0.016074003651738167,0.049946477734728864,1.2401401746549373e-05,0.03973111922019407,8.0,A2-rankwise,1
1,26.004728132387708,26.611111111111107,47.931442080378254,47.88888888888889,47.88888888888889,20.555555555555557,14.42905162733149,26.12293144208038,0,47.931442080378254,1,14.722578244982287,46.787650862010196,61.51153505197726,1134.31396484375,0.016077334453400812,0.04994579345772141,1.2564662986398234e-05,0.03967294371441791,8.0,A2-rankwise,1
2,26.06382978723404,26.666666666666668,59.9290780141844,60.083333333333336,60.083333333333336,40.55555555555556,12.394026089856732,26.12293144208038,0,59.9290780141844,2,15.20766316796653,47.856328818015754,63.06668576702941,1134.31396484375,0.016081965871547397,0.04994260460922593,1.2301839074337439e-05,0.039653624162862174,8.0,A2-rankwise,1
3,26.004728132387708,26.611111111111107,63.4160756501182,63.11111111111112,63.11111111111112,45.0,10.873004286866726,26.12293144208038,0,63.4160756501182,3,16.033334776060656,47.299678611103445,63.335821320069954,1134.31396484375,0.016089569483148426,0.049940307281519235,1.2141537952533996e-05,0.03964166049110262,8.0,A2-rankwise,1
4,26.12293144208038,26.722222222222218,68.61702127659575,68.08333333333333,68.08333333333333,50.55555555555556,11.986650238937369,26.12293144208038,0,68.61702127659575,4,15.729920376092196,46.74798331398051,62.47924179700203,1134.31396484375,0.016098638604346075,0.04993631827988123,1.1985372351007659e-05,0.03962533568081103,8.0,A2-rankwise,1
5,26.300236406619387,26.888888888888893,72.69503546099291,73.33333333333334,73.33333333333334,56.111111111111114,10.204695118872282,26.300236406619387,5,72.69503546099291,5,15.182515295920894,49.409246462979354,64.59403593698516,1134.31396484375,0.016097184760790122,0.0499377519284424,1.218412973302245e-05,0.03960290100229414,8.0,A2-rankwise,1
6,26.004728132387708,26.611111111111107,74.88179669030733,75.63888888888889,75.63888888888889,56.666666666666664,10.718083542071076,26.300236406619387,5,74.88179669030733,6,16.042601161054336,48.61461502604652,64.65968253405299,1134.31396484375,0.01609822352857966,0.04993835895469314,1.215269113392998e-05,0.03959237999821964,8.0,A2-rankwise,1
7,26.182033096926713,26.777777777777782,77.24586288416076,77.44444444444444,77.44444444444444,58.333333333333336,9.845096542234916,26.300236406619387,5,77.24586288416076,7,15.530598088051192,47.02907791198231,62.56473656895105,1134.31396484375,0.01610055948166471,0.049936035746022275,1.2069975462892265e-05,0.03958184938681753,8.0,A2-rankwise,1
8,26.06382978723404,26.75,79.19621749408984,79.44444444444444,79.44444444444444,61.666666666666664,7.131914015947207,26.300236406619387,5,79.19621749408984,8,15.768101376947016,47.87245579005685,63.64185430400539,1134.31396484375,0.016099529242829272,0.0499363796491372,1.2088383348447296e-05,0.03957025726374827,8.0,A2-rankwise,1
9,26.06382978723404,26.666666666666675,80.79196217494089,81.27777777777777,81.27777777777777,56.666666666666664,9.683414610483151,26.300236406619387,5,80.79196217494089,9,15.727095308946446,46.84454247390386,62.57285434496589,1134.31396484375,0.01610335658647512,0.04993489090549318,1.2088266023630767e-05,0.03955551785858054,8.0,A2-rankwise,1
