round,client_id,num_test_samples,global_acc,personalized_acc,global_macro_f1,personalized_macro_f1,gamma_mean,correction_ratio,seed,method_label
0,0,279,84.94623655913979,96.7741935483871,83.32968226835374,95.97608934796556,0.04998779296875,0.039226766509132656,1,A2
0,1,131,96.18320610687023,97.70992366412214,93.25755966251111,96.5086993912579,0.04998779296875,0.039226766509132656,1,A2
0,2,244,98.77049180327869,100.0,99.17678812415654,100.0,0.04998779296875,0.039226766509132656,1,A2
0,3,225,95.11111111111111,100.0,91.92480284961488,100.0,0.04998779296875,0.039226766509132656,1,A2
0,4,166,99.39759036144578,100.0,99.26546755815048,100.0,0.04998779296875,0.039226766509132656,1,A2
0,5,167,99.40119760479043,100.0,99.22779922779922,100.0,0.04998779296875,0.039226766509132656,1,A2
0,6,400,91.25,96.75,83.99505767219168,93.77217464475403,0.04998779296875,0.039226766509132656,1,A2
0,7,386,86.01036269430051,95.33678756476684,83.55042502345752,80.3008947048061,0.04998779296875,0.039226766509132656,1,A2
0,0,279,84.94623655913979,96.7741935483871,83.32968226835374,95.97608934796556,0.04998779296875,0.039226766509132656,1,A2
0,1,131,96.18320610687023,97.70992366412214,93.25755966251111,96.5086993912579,0.04998779296875,0.039226766509132656,1,A2
0,2,244,98.77049180327869,100.0,99.17678812415654,100.0,0.04998779296875,0.039226766509132656,1,A2
0,3,225,95.11111111111111,100.0,91.92480284961488,100.0,0.04998779296875,0.039226766509132656,1,A2
0,4,166,99.39759036144578,100.0,99.26546755815048,100.0,0.04998779296875,0.039226766509132656,1,A2
0,5,167,99.40119760479043,100.0,99.22779922779922,100.0,0.04998779296875,0.039226766509132656,1,A2
0,6,400,91.25,96.75,83.99505767219168,93.77217464475403,0.04998779296875,0.039226766509132656,1,A2
0,7,386,86.01036269430051,95.33678756476684,83.55042502345752,80.3008947048061,0.04998779296875,0.039226766509132656,1,A2
1,0,279,84.94623655913979,97.84946236559139,83.32968226835374,97.26776830741859,0.04998779296875,0.03853447482413877,1,A2
1,1,131,96.94656488549619,98.47328244274809,93.7297568881328,97.05692803437164,0.04998779296875,0.03853447482413877,1,A2
1,2,244,98.36065573770492,100.0,98.80091449999043,100.0,0.04998779296875,0.03853447482413877,1,A2
1,3,225,95.11111111111111,100.0,91.92480284961488,100.0,0.04998779296875,0.03853447482413877,1,A2
1,4,166,99.39759036144578,100.0,99.26546755815048,100.0,0.04998779296875,0.03853447482413877,1,A2
1,5,167,99.40119760479043,100.0,99.22779922779922,100.0,0.04998779296875,0.03853447482413877,1,A2
1,6,400,91.25,97.25,83.85584433121764,94.67346427045406,0.04998779296875,0.03853447482413877,1,A2
1,7,386,86.01036269430051,95.33678756476684,83.55042502345752,80.7488634235216,0.04998779296875,0.03853447482413877,1,A2
2,0,279,85.30465949820788,97.84946236559139,83.68006899838824,97.22015072703788,0.04998779296875,0.03838372141183392,1,A2
2,1,131,96.94656488549619,98.47328244274809,93.7297568881328,97.05692803437164,0.04998779296875,0.03838372141183392,1,A2
2,2,244,98.36065573770492,100.0,98.80091449999043,100.0,0.04998779296875,0.03838372141183392,1,A2
2,3,225,95.11111111111111,100.0,91.92480284961488,100.0,0.04998779296875,0.03838372141183392,1,A2
2,4,166,99.39759036144578,100.0,99.26546755815048,100.0,0.04998779296875,0.03838372141183392,1,A2
2,5,167,99.40119760479043,100.0,99.22779922779922,100.0,0.04998779296875,0.03838372141183392,1,A2
2,6,400,91.5,96.5,84.3426078109286,93.5615692162887,0.04998779296875,0.03838372141183392,1,A2
2,7,386,86.52849740932642,95.07772020725389,83.90472212753643,81.05615147422797,0.04998779296875,0.03838372141183392,1,A2
3,0,279,84.94623655913979,97.84946236559139,83.58178310868986,96.76046537905066,0.04998779296875,0.03824074852575616,1,A2
3,1,131,96.18320610687023,97.70992366412214,93.25755966251111,95.41120533601736,0.04998779296875,0.03824074852575616,1,A2
3,2,244,98.36065573770492,100.0,98.80091449999043,100.0,0.04998779296875,0.03824074852575616,1,A2
3,3,225,95.11111111111111,100.0,91.92480284961488,100.0,0.04998779296875,0.03824074852575616,1,A2
3,4,166,99.39759036144578,100.0,99.26546755815048,100.0,0.04998779296875,0.03824074852575616,1,A2
3,5,167,99.40119760479043,100.0,99.22779922779922,100.0,0.04998779296875,0.03824074852575616,1,A2
3,6,400,91.25,97.0,83.99505767219168,94.11688850826849,0.04998779296875,0.03824074852575616,1,A2
3,7,386,86.01036269430051,95.33678756476684,83.50838740070033,81.23189909072087,0.04998779296875,0.03824074852575616,1,A2
4,0,279,84.94623655913979,99.2831541218638,83.32968226835374,99.07314928942519,0.04998779296875,0.03810671532178313,1,A2
4,1,131,96.94656488549619,96.94656488549619,93.7297568881328,80.97824794253364,0.04998779296875,0.03810671532178313,1,A2
4,2,244,98.36065573770492,100.0,98.80091449999043,100.0,0.04998779296875,0.03810671532178313,1,A2
4,3,225,95.11111111111111,100.0,91.92480284961488,100.0,0.04998779296875,0.03810671532178313,1,A2
4,4,166,99.39759036144578,100.0,99.26546755815048,100.0,0.04998779296875,0.03810671532178313,1,A2
4,5,167,99.40119760479043,100.0,99.22779922779922,100.0,0.04998779296875,0.03810671532178313,1,A2
4,6,400,91.25,96.75,83.85584433121764,94.18772146990972,0.04998779296875,0.03810671532178313,1,A2
4,7,386,86.01036269430051,96.37305699481865,83.5956445257726,82.4972271902363,0.04998779296875,0.03810671532178313,1,A2
5,0,279,84.94623655913979,98.9247311827957,83.32968226835374,98.6450460987186,0.049991762735010166,0.03800070509920275,1,A2
5,1,131,96.94656488549619,96.94656488549619,93.7297568881328,80.97824794253364,0.049991762735010166,0.03800070509920275,1,A2
5,2,244,98.36065573770492,100.0,98.80091449999043,100.0,0.049991762735010166,0.03800070509920275,1,A2
5,3,225,95.11111111111111,100.0,91.92480284961488,100.0,0.049991762735010166,0.03800070509920275,1,A2
5,4,166,99.39759036144578,100.0,99.26546755815048,100.0,0.049991762735010166,0.03800070509920275,1,A2
5,5,167,99.40119760479043,100.0,99.22779922779922,100.0,0.049991762735010166,0.03800070509920275,1,A2
5,6,400,91.25,97.25,83.85584433121764,94.41530341527829,0.049991762735010166,0.03800070509920275,1,A2
5,7,386,86.52849740932642,95.5958549222798,83.90472212753643,80.46215300894082,0.049991762735010166,0.03800070509920275,1,A2
